Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae 342 - ortholog count (reference : comparison)	Klebsiella pneumoniae 342 - ortholuge status	Klebsiella pneumoniae 342 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog NCBI RefSeq accession	Escherichia coli str. K-12 substr. MG1655 - ortholog count (reference : comparison)	Escherichia coli str. K-12 substr. MG1655 - ortholuge status	Escherichia coli str. K-12 substr. MG1655 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae KCTC 2242 - ortholog count (reference : comparison)	Klebsiella pneumoniae KCTC 2242 - ortholuge status	Klebsiella pneumoniae KCTC 2242 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog NCBI RefSeq accession
397673860	RVBD_1986	WP_003409989.1	L-lysine exporter	1 to 2	RBB	WP_014906941.1	2 to 1	RBB	WP_008806450.1	2 to 1	RBB	WP_015958961.1	2 to 1	RBB	NP_417398.1	2 to 1	RBB	WP_004144747.1	2 to 1	RBB	WP_014906941.1	2 to 1	RBB	YP_005228717
397673861	RVBD_1987	WP_003409992.1	chitinase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673862	RVBD_1988	WP_003900446.1	methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673863	RVBD_1989c	WP_003410001.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673865	RVBD_1990A	WP_003410009.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673864	RVBD_1990c	WP_003410003.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673867	RVBD_1991Ac	YP_006515402	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673866	RVBD_1991c	WP_003410010.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673868	RVBD_1992c	WP_003899120.1	heavy metal translocating P-type ATPase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673869	RVBD_1993c	WP_003410017.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673870	RVBD_1994c	WP_003410018.1	HTH-type transcriptional regulator CmtR	1 to 1	RBB	WP_004213085.1	1 to 1	RBB	WP_012542153.1	1 to 1	RBB	WP_015958195.1	0	N/A		1 to 1	RBB	WP_004224172.1	0	N/A		1 to 1	RBB	YP_005226322
397673871	RVBD_1995	WP_003915234.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673872	RVBD_1996	WP_003899121.1	universal stress protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673873	RVBD_1997	WP_003410027.1	HAD ATPase, P-type, family IC	2 to 1	RBB	WP_012737673.1;WP_014907947.1	1 to 2	RBB	WP_008805724.1;WP_012542521.1	1 to 2	RBB	WP_019704896.1;WP_004179084.1	1 to 1	RBB	NP_418663.1	1 to 2	RBB	WP_004223496.1;WP_004223731.1	1 to 2	SSD	WP_012737593.1;WP_012737673.1	1 to 1	RBB	YP_005225692
397673874	RVBD_1998c	WP_003899122.1	hypothetical protein	1 to 1	RBB	WP_014906773.1	0	N/A		1 to 1	RBB	WP_004181536.1	0	N/A		1 to 1	RBB	WP_029884310.1	1 to 1	RBB	WP_014906773.1	1 to 1	RBB	YP_005229457
397673875	RVBD_1999c	WP_003410039.1	APA family basic amino acid/polyamine antiporter	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673876	RVBD_2000	WP_031647411.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673877	RVBD_2001	WP_031647412.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673878	RVBD_2002	WP_003410047.1	3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A		5 to 1	RBB	WP_014599051.1	0	N/A		0	N/A	
397673879	RVBD_2003c	WP_003899125.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673880	RVBD_2004c	WP_003410057.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673881	RVBD_2005c	WP_003410060.1	universal stress protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673882	RVBD_2006	WP_003410063.1	trehalose-phosphatase	1 to 2	RBB	WP_004157957.1	2 to 1	RBB	WP_008804233.1	2 to 1	RBB	WP_002911505.1	0	N/A		2 to 1	RBB	WP_002911505.1	2 to 1	RBB	WP_002911505.1	2 to 1	RBB	YP_005227714
397673883	RVBD_2007c	WP_003410065.1	ferredoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673884	RVBD_2008c	WP_003410070.1	ATPase AAA+ superfamily protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673885	RVBD_2009	WP_003899127.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673886	RVBD_2010	WP_003410075.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673887	RVBD_2011c	WP_003410078.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673888	RVBD_2012	WP_003410080.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673889	RVBD_2013	WP_003899130.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673890	RVBD_2014	WP_003899131.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673891	RVBD_2015c	WP_003410095.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673892	RVBD_2016	WP_003410100.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673893	RVBD_2017	WP_003911735.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673894	RVBD_2018	WP_003410108.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673895	RVBD_2019	WP_003410114.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673896	RVBD_2020c	WP_003410120.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673897	RVBD_2021c	WP_003410124.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673898	RVBD_2022c	WP_003900449.1	hypothetical protein	0	N/A		2 to 1	RBB	WP_012540399.1	2 to 1	RBB	WP_015959099.1	0	N/A		0	N/A		0	N/A		2 to 1	RBB	YP_005229245
397673900	RVBD_2023A	WP_031654582.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673899	RVBD_2023c	WP_003410131.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673901	RVBD_2024c	WP_031682440.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673902	RVBD_2025c	WP_003410146.1	cation diffusion facilitator family transporter	2 to 1	SSD	WP_002882907.1;WP_004151892.1	1 to 2	RBB	WP_012541627.1;WP_008807873.1	1 to 2	RBB	WP_020803491.1;WP_002882907.1	1 to 1	RBB	NP_418350.1	1 to 2	RBB	WP_004151892.1;WP_002882907.1	1 to 2	SSD	WP_002882907.1;WP_004151892.1	1 to 2	SSD	YP_005224374;YP_005227091
397673903	RVBD_2026c	WP_003410150.1	universal stress protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673904	RVBD_2027c	WP_003899138.1	hypoxia sensor histidine kinase response regulator dosT	0	N/A		0	N/A		0	N/A		2 to 2	RBB	NP_415740.1;NP_416964.1	0	N/A		0	N/A		0	N/A	
397673905	RVBD_2028c	WP_003410171.1	universal stress protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673906	RVBD_2029c	WP_003899139.1	1-phosphofructokinase family hexose kinase	1 to 1	RBB	WP_014907389.1	1 to 1	RBB	WP_004103928.1	1 to 1	RBB	WP_004145382.1	1 to 1	RBB	NP_416237.3	1 to 1	RBB	WP_004898920.1	1 to 1	RBB	WP_014907389.1	1 to 1	RBB	YP_005227475
397673907	RVBD_2030c	WP_031647418.1	erythromycin esterase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673908	RVBD_2031c	WP_003410189.1	heat shock protein hspX	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673909	RVBD_2032	WP_003410193.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673910	RVBD_2033c	WP_003410196.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673911	RVBD_2034	WP_003410200.1	ArsR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673912	RVBD_2035	WP_003899141.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673913	RVBD_2036	WP_003899142.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673914	RVBD_2037c	WP_031647421.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673915	RVBD_2038c	WP_003410218.1	cellobiose transporter ATP-binding protein	1 to 2	RBB	WP_014908076.1	1 to 1	RBB	WP_012542674.1	1 to 1	RBB	WP_041937583.1	2 to 2	RBB	NP_417907.2;NP_418459.1	2 to 1	RBB	WP_004222208.1	2 to 1	RBB	WP_014908076.1	2 to 1	RBB	YP_005224833
397673916	RVBD_2039c	WP_003911736.1	multiple sugar transporter permease	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673917	RVBD_2040c	WP_003410224.1	multiple sugar transporter permease	1 to 1	RBB	WP_002915995.1	1 to 1	SSD	WP_004205419.1	1 to 1	SSD	WP_002915995.1	2 to 1	RBB	NP_417909.1	1 to 1	RBB	WP_002915995.1	1 to 1	SSD	WP_002915995.1	1 to 1	SSD	YP_005228621
397673918	RVBD_2041c	WP_003410228.1	multiple sugar transporter substrate-binding protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673919	RVBD_2042c	WP_003899143.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673920	RVBD_2043c	WP_003410243.1	nicotinamidase/pyrazinamidase	1 to 1	RBB	WP_004892853.1	1 to 1	RBB	WP_012542094.1	1 to 1	RBB	WP_004892853.1	1 to 1	RBB	NP_416282.4	1 to 1	RBB	WP_004224206.1	1 to 1	RBB	YP_002918991	1 to 1	RBB	YP_005226394
397673921	RVBD_2044c	WP_003902241.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673922	RVBD_2045c	WP_003916923.1	carboxylesterase type B	1 to 1	RBB	WP_014907500.1	1 to 1	RBB	WP_012541543.1	1 to 1	RBB	WP_015958514.1	0	N/A		1 to 1	RBB	WP_004151211.1	1 to 1	RBB	WP_014907500.1	1 to 1	RBB	YP_005227224
397673923	RVBD_2046	WP_003899146.1	lipoprotein LppI	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673924	RVBD_2047c	WP_003410309.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673925	RVBD_2048c	WP_010886138.1	polyketide synthase 12	0	N/A		3 to 1	RBB	WP_012542242.1	3 to 2	RBB	WP_002899289.1;WP_015874762.1	4 to 1	RBB	NP_415610.1	3 to 1	RBB	WP_004224087.1	0	N/A		0	N/A	
397673926	RVBD_2049c	WP_003899148.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673927	RVBD_2050	WP_003410601.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673928	RVBD_2051c	WP_029988887.1	apolipoprotein N-acyltransferase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_415190.1	0	N/A		0	N/A		0	N/A	
397673929	RVBD_2052c	WP_003410605.1	hypothetical protein	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_417359.1	0	N/A		0	N/A		0	N/A	
397673930	RVBD_2053c	WP_003899151.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673931	RVBD_2054	WP_003410610.1	carboxymethylenebutenolidase	2 to 1	RBB	WP_041168925.1;WP_002883417.1	1 to 2	RBB	WP_012540549.1;WP_012543223.1	1 to 2	RBB	WP_004144560.1;WP_002883417.1	0	N/A		1 to 1	RBB	WP_004901889.1	1 to 2	RBB	WP_002883417.1;WP_004144560.1	1 to 2	RBB	YP_005224471;YP_005228848
397673932	RVBD_2055c	WP_003410619.1	30S ribosomal protein S18 2	1 to 2	RBB	WP_000135199.1	2 to 1	RBB	WP_000135199.1	2 to 1	RBB	WP_000135199.1	2 to 1	RBB	NP_418623.1	2 to 1	RBB	WP_000135199.1	2 to 1	RBB	WP_000135199.1	2 to 1	RBB	YP_005224742
397673933	RVBD_2056c	WP_003410624.1	30S ribosomal protein S14	1 to 1	RBB	WP_002919667.1	1 to 1	RBB	WP_002919667.1	1 to 1	RBB	WP_002919667.1	1 to 1	RBB	NP_417766.1	1 to 1	RBB	WP_002919667.1	1 to 1	RBB	WP_002919667.1	1 to 1	RBB	YP_005229155
397673934	RVBD_2057c	WP_003410628.1	50S ribosomal protein L33	1 to 1	RBB	WP_002922510.1	1 to 1	RBB	WP_002922510.1	1 to 1	RBB	WP_002922510.1	1 to 1	RBB	NP_418093.1	1 to 1	RBB	WP_002922510.1	1 to 1	RBB	WP_002922510.1	1 to 1	RBB	YP_005229439
397673935	RVBD_2058c	WP_003410631.1	50S ribosomal protein L28	1 to 2	RBB	WP_000091955.1	2 to 1	RBB	WP_002436699.1	2 to 1	RBB	WP_000091955.1	2 to 1	RBB	NP_418094.1	2 to 1	RBB	WP_000091955.1	2 to 1	RBB	WP_000091955.1	2 to 1	RBB	YP_005229440
397673936	RVBD_2059	WP_031647429.1	zinc/manganese transporter substrate-binding protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673937	RVBD_2060	WP_031647424.1	zinc/manganese transporter permease	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673938	RVBD_2061c	WP_003410645.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673939	RVBD_2062c	WP_003410648.1	cobaltochelatase subunit CobN	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673940	RVBD_2063	WP_003410651.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673941	RVBD_2063A	WP_003410654.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673942	RVBD_2064	WP_003900454.1	precorrin-3B synthase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673943	RVBD_2065	WP_003410658.1	precorrin-8X methylmutase	1 to 1	RBB	WP_002915711.1	1 to 1	RBB	WP_012540682.1	1 to 1	RBB	WP_002915711.1	0	N/A		1 to 1	RBB	WP_002915711.1	1 to 1	RBB	WP_002915711.1	1 to 1	RBB	YP_005228562
397673944	RVBD_2066	WP_003410659.1	cobalamin biosynthesis protein CobIJ	1 to 1	SSD	WP_014906994.1	1 to 1	RBB	WP_008806290.1	1 to 1	RBB	WP_004143930.1	0	N/A		1 to 1	RBB	WP_004143930.1	1 to 1	RBB	WP_014906994.1	1 to 1	RBB	YP_005228556
397673945	RVBD_2067c	WP_003901321.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673946	RVBD_2068c	WP_003410677.1	beta-lactamase	1 to 1	RBB	WP_004151611.1	1 to 2	RBB	WP_012541790.1	1 to 1	RBB	WP_004151611.1	0	N/A		1 to 1	RBB	WP_004209814.1	1 to 1	RBB	WP_004151611.1	1 to 1	RBB	YP_005226822
397673947	RVBD_2069	WP_003410678.1	sigma-70 family RNA polymerase sigma factor	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673948	RVBD_2070c	WP_003900455.1	precorrin-6A reductase	1 to 1	RBB	WP_014906995.1	1 to 1	RBB	WP_012540688.1	1 to 1	RBB	WP_015958915.1	0	N/A		1 to 1	RBB	WP_004900260.1	1 to 1	RBB	WP_014906995.1	1 to 1	RBB	YP_005228555
397673949	RVBD_2071c	WP_003906733.1	precorrin-4 C(11)-methyltransferase	1 to 1	SSD	WP_004149602.1	1 to 1	RBB	WP_012540686.1	1 to 1	RBB	WP_004900267.1	0	N/A		1 to 1	RBB	WP_004900267.1	1 to 1	RBB	WP_004149602.1	1 to 1	RBB	YP_005228558
397673950	RVBD_2072c	WP_003911740.1	precorrin-6Y C(5,15)-methyltransferase	1 to 1	RBB	WP_004174583.1	1 to 1	RBB	WP_012540684.1	1 to 1	RBB	WP_015958917.1	0	N/A		1 to 1	RBB	WP_004151092.1	1 to 1	RBB	WP_004174583.1	1 to 1	RBB	YP_005228560
397673951	RVBD_2073c	WP_003900457.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673952	RVBD_2074	WP_009939445.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673953	RVBD_2075c	WP_003899158.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673954	RVBD_2076c	WP_003410693.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673956	RVBD_2077A	WP_003410695.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673957	RVBD_2077Bc	YP_006515492	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673955	RVBD_2077c	WP_003899159.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673958	RVBD_2078	WP_003911741.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673959	RVBD_2079	WP_003911742.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673960	RVBD_2080	WP_003899161.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673961	RVBD_2081c	YP_006515496	transmembrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673962	RVBD_2082	WP_003911763.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673963	RVBD_2083	WP_003916935.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673964	RVBD_2084	WP_003900462.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673965	RVBD_2085	WP_003410726.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673966	RVBD_2086	WP_003899164.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673967	RVBD_2087	WP_003410730.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673968	RVBD_2088	WP_003410735.1	serine/threonine protein kinase	0	N/A		0	N/A		0	N/A		0	N/A		8 to 1	RBB	WP_014599017.1	0	N/A		0	N/A	
397673969	RVBD_2089c	WP_003410743.1	D-alanyl-D-alanine dipeptidase	2 to 2	SSD	WP_004152060.1;WP_002916483.1	2 to 2	SSD	WP_012540579.1;WP_012543217.1	2 to 2	RBB	WP_002916483.1;WP_004181656.1	0	N/A		2 to 2	RBB	WP_002916483.1;WP_004152060.1	2 to 2	SSD	WP_004152060.1;WP_002916483.1	2 to 2	Borderline-SSD	YP_005224487;YP_005228709
561108347	RVBD_2090	WP_010886139.1	5'-3' exonuclease	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673971	RVBD_2091c	WP_003410762.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673972	RVBD_2092c	WP_003899167.1	ATP-dependent RNA helicase HelY	0	N/A		1 to 1	RBB	WP_041165337.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673973	RVBD_2093c	WP_009937728.1	twin arginine-targeting protein translocase TatC	1 to 1	SSD	WP_002883427.1	1 to 1	RBB	WP_004886745.1	1 to 1	SSD	WP_002883427.1	1 to 1	RBB	NP_418282.1	1 to 1	RBB	WP_002883427.1	1 to 1	RBB	WP_002883427.1	1 to 1	SSD	YP_005224479
397673974	RVBD_2094c	WP_003410768.1	TatA/E family twin arginine-targeting protein translocase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673975	RVBD_2095c	WP_003410772.1	protein pafC	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673976	RVBD_2096c	WP_003410775.1	protein pafB	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673977	RVBD_2097c	WP_003910893.1	pup-protein ligase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673978	RVBD_2098c	WP_014848110.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673979	RVBD_2099c	YP_006515514	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673980	RVBD_2100	WP_003900464.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673981	RVBD_2101	WP_003911743.1	helicase helZ	1 to 1	RBB	WP_012737310.1	0	N/A		1 to 1	RBB	WP_015959343.1	0	N/A		0	N/A		1 to 1	RBB	WP_012737310.1	0	N/A	
397673982	RVBD_2102	WP_003899172.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673983	RVBD_2103c	WP_003410811.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673985	RVBD_2104Ac	YP_006515520	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673984	RVBD_2104c	WP_003410814.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673986	RVBD_2105	WP_003899493.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A		16 to 1	RBB	WP_004222278.1	0	N/A		16 to 1	RBB	YP_005225151
397673987	RVBD_2106	WP_003899492.1	transposase	4 to 16	RBB	WP_004146689.1	16 to 1	SSD	WP_012543023.1	16 to 4	RBB	WP_004146689.1;WP_015958955.1	16 to 6	RBB	NP_414833.1;NP_414906.1;NP_415073.1;NP_415545.1;NP_416593.1;NP_418015.1	16 to 7	RBB	WP_004146689.1;WP_004222280.1;WP_014599215.1	16 to 4	RBB	WP_004146689.1	16 to 7	RBB	YP_005224653;YP_005225150;YP_005225191;YP_005225696;YP_005225762;YP_005226399;YP_005229359
397673988	RVBD_2107	WP_003410820.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673989	RVBD_2108	WP_003900467.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673990	RVBD_2109c	WP_003906749.1	proteasome subunit alpha	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673991	RVBD_2110c	WP_003411023.1	proteasome subunit beta	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673992	RVBD_2111c	WP_003411026.1	ubiquitin-like protein Pup	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673993	RVBD_2112c	WP_003411029.1	pup deamidase/depupylase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673994	RVBD_2113	WP_003411031.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673995	RVBD_2114	WP_003411033.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673996	RVBD_2115c	WP_003411035.1	proteasome-associated ATPase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673997	RVBD_2116	WP_003900470.1	lipoprotein LppK	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673998	RVBD_2117	WP_003411038.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673999	RVBD_2118c	WP_003411041.1	tRNA (adenine-N1-)-methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397674000	RVBD_2119	WP_003899178.1	recombinase B	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
