Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Lactobacillus rhamnosus GG NC_013198 - ortholog count (reference : comparison)	Lactobacillus rhamnosus GG NC_013198 - ortholuge status	Lactobacillus rhamnosus GG NC_013198 - ortholog NCBI RefSeq accession	Eubacterium rectale ATCC 33656 - ortholog count (reference : comparison)	Eubacterium rectale ATCC 33656 - ortholuge status	Eubacterium rectale ATCC 33656 - ortholog NCBI RefSeq accession	Bacteroides vulgatus ATCC 8482 - ortholog count (reference : comparison)	Bacteroides vulgatus ATCC 8482 - ortholuge status	Bacteroides vulgatus ATCC 8482 - ortholog NCBI RefSeq accession	Eubacterium eligens ATCC 27750 - ortholog count (reference : comparison)	Eubacterium eligens ATCC 27750 - ortholuge status	Eubacterium eligens ATCC 27750 - ortholog NCBI RefSeq accession
16129969	b2028	NP_416532.1	UDP-glucose 6-dehydrogenase	0	N/A		0	N/A		1 to 1	SSD	WP_005846440.1	0	N/A	
16129970	b2029	NP_416533.1	6-phosphogluconate dehydrogenase, decarboxylating	1 to 1	RBB	WP_005684446.1	0	N/A		1 to 1	SSD	WP_005843392.1	0	N/A	
16129971	b2030	NP_416535.1	IS5 transposase and trans-activator	0	N/A		0	N/A		0	N/A		0	N/A	
16129972	b2032	NP_416536.1	lipopolysaccharide biosynthesis protein	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012738364.1
16129973	b2033	NP_416537.1	predicted lipopolysaccharide biosynthesis O-acetyl transferase	0	N/A		0	N/A		1 to 1	RBB	WP_008671350.1	0	N/A	
16129974	b2034	NP_416538.1	d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase	1 to 1	RBB	WP_014569858.1	1 to 1	RBB	WP_012743341.1	0	N/A		1 to 1	RBB	YP_002929612
16129975	b2035	NP_416539.1	O-antigen polymerase	0	N/A		0	N/A		0	N/A		0	N/A	
16129976	b2036	NP_416540.1	UDP-galactopyranose mutase, FAD/NAD(P)-binding	1 to 1	RBB	WP_014569863.1	1 to 1	RBB	WP_012743519.1	1 to 1	RBB	WP_008666589.1	1 to 1	RBB	WP_041688373.1
16129977	b2037	NP_416541.1	predicted polisoprenol-linked O-antigen transporter	2 to 1	RBB	WP_005685353.1;WP_014569862.1	2 to 1	RBB	WP_041254183.1;WP_012743439.1	0	N/A		1 to 1	RBB	WP_012738405.1
16129978	b2038	NP_416542.1	dTDP-4-deoxyrhamnose-3,5-epimerase	2 to 1	RBB	WP_005688276.1;WP_032953780.1	0	N/A		2 to 1	RBB	WP_005843153.1;WP_005840522.1	1 to 1	RBB	WP_012738359.1
16129979	b2039	NP_416543.1	glucose-1-phosphate thymidylyltransferase	1 to 1	RBB	WP_014569835.1	0	N/A		0	N/A		1 to 1	RBB	WP_012738362.1
16129980	b2040	NP_416544.1	dTDP-4-dehydrorhamnose reductase subunit, NAD(P)-binding, of dTDP-L-rhamnose synthase	1 to 1	RBB	WP_005688280.1	0	N/A		2 to 1	RBB	WP_011965591.1;WP_005851079.1	1 to 1	RBB	WP_012738360.1
16129981	b2041	NP_416545.1	dTDP-glucose 4,6 dehydratase, NAD(P)-binding	2 to 2	RBB	WP_014569852.1;WP_014569834.1	0	N/A		1 to 2	RBB	WP_005840518.1	1 to 2	RBB	WP_012738361.1
16129982	b2042	NP_416546.1	putative regulatory subunit for GalU	1 to 2	RBB	WP_005685798.1	1 to 2	RBB	WP_012743426.1	0	N/A		0	N/A	
16129983	b2043	NP_416547.1	colanic acid biosynthesis protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129984	b2044	NP_416548.1	predicted glycosyl transferase	2 to 1	RBB	WP_014569698.1;WP_005685154.1	1 to 1	SSD	WP_041254654.1	1 to 1	RBB	WP_012055949.1	0	N/A	
16129985	b2045	NP_416549.1	Colanic acid biosynthesis protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129986	b2046	NP_416550.1	predicted colanic acid exporter	0	N/A		0	N/A		1 to 1	SSD	WP_005850555.1	0	N/A	
16129987	b2047	NP_416551.1	predicted UDP-glucose lipid carrier transferase	1 to 1	RBB	WP_005687210.1	1 to 1	RBB	WP_012743479.1	3 to 1	RBB	WP_041174453.1;WP_005851494.1;WP_005848111.1	1 to 1	RBB	WP_012738411.1
16129988	b2048	NP_416552.1	phosphomannomutase	0	N/A		0	N/A		1 to 1	RBB	WP_005842943.1	0	N/A	
16129989	b2049	NP_416553.1	mannose-1-phosphate guanyltransferase	0	N/A		0	N/A		3 to 1	SSD	WP_005851496.1;WP_005848142.1;WP_005845400.1	1 to 1	RBB	WP_022099227.1
16129990	b2050	NP_416554.1	predicted glycosyl transferase	0	N/A		0	N/A		0	N/A		0	N/A	
90111376	b2051	NP_416555.2	GDP-mannose mannosyl hydrolase	0	N/A		0	N/A		0	N/A		0	N/A	
16129992	b2052	NP_416556.1	bifunctional GDP-fucose synthetase: GDP-4-dehydro-6-deoxy-D-mannose epimerase/ GDP-4-dehydro-6-L-deoxygalactose reductase	0	N/A		0	N/A		2 to 1	RBB	WP_011965671.1;WP_012055960.1	0	N/A	
16129993	b2053	NP_416557.1	GDP-D-mannose dehydratase, NAD(P)-binding	0	N/A		0	N/A		2 to 1	RBB	WP_005844781.1;WP_012055961.1	0	N/A	
16129994	b2054	NP_416558.1	predicted acyl transferase	0	N/A		0	N/A		1 to 1	RBB	WP_011965674.1	0	N/A	
16129995	b2055	NP_416559.1	predicted glycosyl transferase	0	N/A		0	N/A		5 to 1	RBB	WP_005844447.1;WP_041174593.1;WP_005848138.1;WP_005843135.1;WP_011965288.1	0	N/A	
16129996	b2056	NP_416560.1	predicted colanic acid polymerase	0	N/A		0	N/A		0	N/A		0	N/A	
16129997	b2057	NP_416561.1	predicted glycosyl transferase	0	N/A		0	N/A		2 to 1	RBB	WP_005844449.1;WP_041174594.1	0	N/A	
16129998	b2058	NP_416562.1	predicted acyl transferase	0	N/A		0	N/A		0	N/A		0	N/A	
16129999	b2059	NP_416563.1	predicted glycosyl transferase	0	N/A		1 to 1	RBB	WP_012743527.1	0	N/A		2 to 1	RBB	WP_041688409.1;WP_012738370.1
90111377	b2060	NP_416564.4	protein-tyrosine kinase	1 to 2	RBB	WP_015765007.1	1 to 2	RBB	WP_012743879.1	1 to 2	RBB	WP_011965689.1	0	N/A	
16130001	b2061	NP_416565.1	protein-tyrosine phosphatase	1 to 1	RBB	WP_005684955.1	0	N/A		1 to 2	RBB	WP_005845462.1	1 to 1	RBB	WP_041688833.1
16130002	b2062	NP_416566.1	lipoprotein required for capsular polysaccharide translocation through the outer membrane	0	N/A		0	N/A		1 to 2	RBB	WP_012055962.1	0	N/A	
90111378	b2063	NP_416567.4	inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16130004	b2064	NP_416568.1	predicted assembly protein	0	N/A		0	N/A		0	N/A		0	N/A	
16130005	b2065	NP_416569.1	2'-deoxycytidine 5'-triphosphate deaminase	0	N/A		0	N/A		0	N/A		0	N/A	
90111379	b2066	NP_416570.2	uridine/cytidine kinase	1 to 1	RBB	WP_005684428.1	0	N/A		1 to 1	RBB	WP_008671116.1	1 to 1	RBB	WP_012738928.1
16130007	b2067	NP_416571.1	predicted diguanylate cyclase, GGDEF domain signaling protein	0	N/A		0	N/A		0	N/A		0	N/A	
16130008	b2068	NP_416572.1	3-methyl-adenine DNA glycosylase II	0	N/A		0	N/A		0	N/A		0	N/A	
90111380	b2069	NP_416573.4	predicted chaperone	0	N/A		0	N/A		0	N/A		0	N/A	
16130010	b2070	NP_416574.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16130011	b2071	NP_416575.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16130012	b2072	NP_416576.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16130013	b2073	NP_416577.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111381	b2074	NP_416578.2	multidrug efflux system, subunit A	0	N/A		0	N/A		0	N/A		0	N/A	
16130015	b2075	NP_416579.1	multidrug efflux system, subunit B	0	N/A		1 to 6	RBB	WP_012743418.1	0	N/A		0	N/A	
16130016	b2076	NP_416580.1	multidrug efflux system, subunit C	0	N/A		1 to 6	RBB	WP_012743418.1	0	N/A		0	N/A	
16130017	b2077	NP_416581.1	predicted transporter with no MDR phenotype when mutated or cloned	0	N/A		0	N/A		0	N/A		0	N/A	
16130018	b2078	NP_416582.1	sensory histidine kinase in two-component regulatory system with BaeR	1 to 1	RBB	WP_005687406.1	2 to 1	RBB	WP_012743673.1;WP_012740924.1	0	N/A		2 to 1	RBB	WP_041688617.1;WP_041688808.1
16130019	b2079	NP_416583.1	DNA-binding response regulator in two-component regulatory system with BaeS	0	N/A		1 to 1	RBB	WP_012743672.1	1 to 2	RBB	WP_005839770.1	0	N/A	
90111382	b2080	NP_416584.4	conserved protein, UPF0339 family	0	N/A		0	N/A		0	N/A		0	N/A	
16130021	b2081	NP_416585.1	predicted peptidase	0	N/A		1 to 1	RBB	WP_022293414.1	0	N/A		1 to 1	RBB	WP_041688528.1
16130022	b2082	NP_416586.1	positive regulator of P2 growth (insertion of P2 ogr gene into the chromosome)	0	N/A		0	N/A		0	N/A		0	N/A	
90111383	b2085	NP_416589.2	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16130026	b2086	NP_416590.1	phosphatidylglycerol kinase, metal-dependent	2 to 1	RBB	WP_005687280.1;WP_005713716.1	1 to 1	SSD	WP_012741602.1	1 to 1	SSD	WP_005853394.1	1 to 1	RBB	WP_041688169.1
226524731	b2088	NP_416592.2	IS3 transposase A	0	N/A		1 to 5	RBB	WP_005612369.1	0	N/A		0	N/A	
16130028	b2089	NP_416593.1	IS3 transposase B	1 to 5	RBB	WP_014569096.1	1 to 5	RBB	WP_012743026.1	0	N/A		0	N/A	
16130029	b2091	NP_416594.1	galactitol-1-phosphate dehydrogenase, Zn-dependent and NAD(P)-binding	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041687885.1
16130030	b2092	NP_416595.1	galactitol-specific enzyme IIC component of PTS	1 to 1	RBB	WP_005687599.1	0	N/A		1 to 2	RBB	WP_005842794.1	0	N/A	
16130031	b2093	NP_416596.1	galactitol-specific enzyme IIB component of PTS	0	N/A		0	N/A		0	N/A		0	N/A	
16130032	b2094	NP_416597.1	galactitol-specific enzyme IIA component of PTS	3 to 1	RBB	WP_005714820.1;WP_005684938.1;WP_005686532.1	0	N/A		0	N/A		0	N/A	
16130033	b2095	NP_416598.1	D-tagatose 1,6-bisphosphate aldolase 2, subunit	0	N/A		0	N/A		0	N/A		0	N/A	
90111384	b2096	NP_416599.2	D-tagatose 1,6-bisphosphate aldolase 2, catalytic subunit	1 to 1	RBB	WP_005688039.1	1 to 3	RBB	WP_012741603.1	1 to 2	RBB	WP_005943012.1	1 to 2	RBB	WP_012740054.1
90111385	b2097	NP_416600.4	fructose-bisphosphate aldolase class I	0	N/A		0	N/A		2 to 1	RBB	WP_011965373.1;WP_005842445.1	0	N/A	
16130036	b2098	NP_416601.1	nucleoside transporter, low affinity	0	N/A		0	N/A		0	N/A		0	N/A	
16130037	b2099	NP_416602.1	predicted hydrolase	0	N/A		0	N/A		0	N/A		0	N/A	
16130038	b2100	NP_416603.1	predicted kinase	0	N/A		0	N/A		0	N/A		0	N/A	
16130039	b2101	NP_416604.1	predicted DNA-binding transcriptional regulator	0	N/A		1 to 1	RBB	WP_012742996.1	0	N/A		0	N/A	
90111386	b2102	NP_416605.2	predicted hydrolase	1 to 1	RBB	WP_015764902.1	2 to 1	RBB	WP_041254638.1;WP_012744052.1	1 to 1	RBB	WP_005848612.1	3 to 1	RBB	WP_041688846.1;WP_012738420.1;WP_041688377.1
16130041	b2103	NP_416606.1	bifunctional hydroxy-methylpyrimidine kinase/ hydroxy-phosphomethylpyrimidine kinase	2 to 1	RBB	WP_014569037.1;WP_015764875.1	1 to 1	SSD	WP_012743352.1	1 to 1	SSD	WP_005843114.1	1 to 1	RBB	WP_012739629.1
16130042	b2104	NP_416607.1	hydoxyethylthiazole kinase	1 to 1	RBB	WP_014569035.1	1 to 1	SSD	WP_041254169.1	0	N/A		0	N/A	
16130043	b2105	NP_416608.1	DNA-binding transcriptional repressor of rcnA	0	N/A		1 to 2	RBB	WP_041253856.1	0	N/A		1 to 2	RBB	WP_012739694.1
16130044	b2106	NP_416609.1	membrane protein conferring nickel and cobalt resistance	0	N/A		0	N/A		0	N/A		0	N/A	
90111387	b2107	NP_416610.4	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16130046	b2108	NP_416611.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A	
16130047	b2109	NP_416612.1	predicted outer membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16130048	b2110	NP_416613.1	predicted periplasmic pilin chaperone	0	N/A		0	N/A		0	N/A		0	N/A	
16130049	b2111	NP_416614.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A	
16130050	b2112	NP_416615.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111388	b2113	NP_416616.4	antiporter inner membrane protein	0	N/A		1 to 1	SSD	WP_012743855.1	1 to 1	SSD	WP_011964682.1	1 to 1	RBB	WP_012738672.1
16130052	b2114	NP_416617.1	methionyl-tRNA synthetase	1 to 1	RBB	WP_005685224.1	1 to 1	SSD	WP_041254271.1	1 to 1	SSD	WP_005850560.1	1 to 1	RBB	WP_012740243.1
16130056	b2118	NP_416621.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111389	b2119	NP_416623.2	predicted transporter subunit: ATP-binding component of ABC superfamily	0	N/A		0	N/A		0	N/A		0	N/A	
16130058	b2120	NP_416624.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16130059	b2121	NP_416625.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111391	b2123	NP_416627.2	lipoprotein, DUF1307 family	0	N/A		0	N/A		0	N/A		0	N/A	
16130062	b2124	NP_416628.1	conserved protein, DUF1456 family	0	N/A		0	N/A		0	N/A		0	N/A	
90111392	b2125	NP_416629.4	predicted response regulator in two-component system withYehU	0	N/A		1 to 1	RBB	WP_012741909.1	1 to 1	RBB	WP_005843414.1	0	N/A	
16130064	b2126	NP_416630.1	predicted sensory kinase in two-component system with YehT, inner membrane protein	0	N/A		1 to 2	RBB	WP_012741390.1	1 to 1	RBB	WP_005847311.1	1 to 2	RBB	WP_041688252.1
16130065	b2127	NP_416631.1	DNA-binding transcriptional regulator	1 to 2	RBB	WP_005684410.1	0	N/A		1 to 2	RBB	WP_005845797.1	0	N/A	
16130066	b2128	NP_416632.1	predicted transporter subunit: membrane component of ABC superfamily	2 to 1	RBB	WP_005687392.1;WP_005716747.1	0	N/A		0	N/A		0	N/A	
16130067	b2129	NP_416633.1	predicted transporter subunit: ATP-binding component of ABC superfamily	1 to 1	RBB	WP_005687389.1	0	N/A		0	N/A		0	N/A	
16130068	b2130	NP_416634.1	predicted transporter subunit: membrane component of ABC superfamily	0	N/A		0	N/A		0	N/A		0	N/A	
16130069	b2131	NP_416635.1	predicted transporter subunit: periplasmic-binding component of ABC superfamily	0	N/A		0	N/A		0	N/A		0	N/A	
16130070	b2132	NP_416636.1	beta-D-glucoside glucohydrolase, periplasmic	1 to 1	RBB	WP_014569261.1	1 to 1	SSD	WP_012743635.1	2 to 1	RBB	WP_011964800.1;WP_005843100.1	0	N/A	
16130071	b2133	NP_416637.1	D-lactate dehydrogenase, FAD-binding, NADH independent	0	N/A		0	N/A		0	N/A		0	N/A	
162135905	b2134	NP_416638.4	D-alanyl-D-alanine endopeptidase	0	N/A		0	N/A		0	N/A		0	N/A	
90111394	b2135	NP_416639.2	inner membrane protein, Yip1 family	0	N/A		0	N/A		0	N/A		0	N/A	
90111395	b2136	NP_416640.2	inner membrane protein, DedA family	0	N/A		0	N/A		0	N/A		0	N/A	
16130075	b2137	NP_416641.1	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	1 to 1	RBB	WP_014569965.1	0	N/A		0	N/A		0	N/A	
16130078	b2140	NP_416645.1	tRNA-dihydrouridine synthase C	0	N/A		0	N/A		0	N/A		0	N/A	
16130079	b2141	NP_416646.1	inner membrane protein, UPF0299 family	0	N/A		1 to 1	RBB	WP_012743649.1	1 to 1	RBB	WP_005840692.1	1 to 1	RBB	WP_012738688.1
16130080	b2142	NP_416647.1	inner membrane protein, LrgB family	0	N/A		1 to 1	RBB	WP_012743648.1	1 to 1	RBB	WP_005840694.1	1 to 1	RBB	WP_012738689.1
16130081	b2143	NP_416648.1	cytidine/deoxycytidine deaminase	0	N/A		1 to 1	SSD	WP_012741219.1	0	N/A		1 to 1	RBB	WP_012739209.1
16130082	b2144	NP_416649.1	vancomycin high temperature exclusion protein; mutants have a defective envelope more permeable to vancomycin at 42 degrees	0	N/A		0	N/A		0	N/A		0	N/A	
16130083	b2145	NP_416650.1	conserved protein, DUF2542 family	0	N/A		0	N/A		0	N/A		0	N/A	
16130084	b2146	NP_416651.1	Dihydropyrimidine dehydrogenase, NADH-dependent, subunit A	0	N/A		0	N/A		0	N/A		0	N/A	
90111398	b2147	NP_416652.4	Dihydropyrimidine dehydrogenase, NADH-dependent, subunit B	1 to 1	RBB	WP_014569647.1	1 to 1	RBB	WP_012743303.1	1 to 1	RBB	WP_007843008.1	1 to 1	RBB	WP_041688464.1
16130086	b2148	NP_416653.1	methyl-galactoside transporter subunit	0	N/A		1 to 1	RBB	WP_012741387.1	0	N/A		0	N/A	
16130087	b2149	NP_416654.1	fused methyl-galactoside transporter subunits of ABC superfamily: ATP-binding components	0	N/A		1 to 1	RBB	WP_015515559.1	0	N/A		0	N/A	
16130088	b2150	NP_416655.1	methyl-galactoside transporter subunit	0	N/A		1 to 1	RBB	WP_041253831.1	0	N/A		0	N/A	
16130089	b2151	NP_416656.1	DNA-binding transcriptional repressor	0	N/A		0	N/A		1 to 5	RBB	WP_005844540.1	1 to 3	RBB	WP_041688559.1
16130090	b2152	NP_416657.1	predicted inner membrane protein	0	N/A		0	N/A		2 to 1	RBB	WP_011965547.1;WP_005850669.1	0	N/A	
16130091	b2153	NP_416658.1	GTP cyclohydrolase I	0	N/A		0	N/A		1 to 1	RBB	WP_005840808.1	0	N/A	
16130092	b2154	NP_416659.1	S-formylglutathione hydrolase	0	N/A		0	N/A		1 to 2	RBB	WP_005847415.1	0	N/A	
16130093	b2155	NP_416660.1	catecholate siderophore receptor CirA	0	N/A		0	N/A		4 to 2	RBB	WP_012055542.1;WP_005848805.1;WP_012055545.1;WP_005846484.1	0	N/A	
16130094	b2156	NP_416661.1	lysine transporter	2 to 1	RBB	WP_015764844.1;WP_005686067.1	1 to 5	RBB	WP_012741025.1	0	N/A		0	N/A	
16130095	b2157	NP_416662.1	predicted DNA-binding transcriptional regulator	0	N/A		1 to 1	RBB	WP_041254358.1	1 to 1	RBB	WP_005841603.1	0	N/A	
16130096	b2158	NP_416663.1	inner membrane protein, UPF0324 family	0	N/A		0	N/A		1 to 1	RBB	WP_005841601.1	0	N/A	
16130097	b2159	NP_416664.1	endonuclease IV with intrinsic 3'-5' exonuclease activity	1 to 1	RBB	WP_005687667.1	1 to 1	SSD	WP_015517646.1	1 to 1	SSD	WP_005841766.1	0	N/A	
16130098	b2160	NP_416665.1	predicted kinase	0	N/A		0	N/A		0	N/A		0	N/A	
16130099	b2161	NP_416666.1	nucleoside permease	0	N/A		0	N/A		0	N/A		0	N/A	
16130100	b2162	NP_416667.1	ribonucleoside hydrolase 2	0	N/A		0	N/A		0	N/A		0	N/A	
49176193	b2163	NP_416668.3	DNA-binding transcriptional activator of stationary phase nitrogen survival	0	N/A		0	N/A		0	N/A		0	N/A	
16130102	b2164	NP_416669.1	predicted nucleoside transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16130103	b2165	NP_416670.1	pseudouridine 5'-phosphate glycosidase	0	N/A		0	N/A		0	N/A		0	N/A	
16130104	b2166	NP_416671.1	pseudouridine kinase	0	N/A		0	N/A		0	N/A		0	N/A	
16130105	b2167	NP_416672.1	fused fructose-specific PTS enzymes: IIBcomponent/IIC components	0	N/A		1 to 1	SSD	WP_012740948.1	0	N/A		0	N/A	
16130106	b2168	NP_416673.1	fructose-1-phosphate kinase	4 to 1	RBB	WP_005688153.1;WP_014569246.1;WP_014569016.1;WP_014569620.1	1 to 1	SSD	WP_012740947.1	0	N/A		0	N/A	
16130107	b2169	NP_416674.1	fused fructose-specific PTS enzymes: IIA component/HPr component	1 to 1	RBB	WP_005685732.1	0	N/A		0	N/A		0	N/A	
16130108	b2170	NP_416675.1	lactose/glucose efflux system	0	N/A		0	N/A		0	N/A		0	N/A	
90111399	b2171	NP_416676.4	elongation factor P-like protein	0	N/A		0	N/A		0	N/A		0	N/A	
16130110	b2172	NP_416677.1	predicted dehydrogenase, NAD-dependent	1 to 3	RBB	WP_014568906.1	0	N/A		0	N/A		0	N/A	
16130111	b2173	NP_416678.1	predicted enzyme	0	N/A		1 to 1	RBB	WP_012742674.1	0	N/A		1 to 1	RBB	WP_012740208.1
90111400	b2174	NP_416679.4	Lipid A 1-diphosphate synthase; undecaprenyl pyrophosphate:lipid A 1-phosphate phosphotransferase	0	N/A		0	N/A		0	N/A		0	N/A	
16130113	b2175	NP_416680.1	mutational suppressor of prc thermosensitivity, outer membrane lipoprotein	0	N/A		3 to 2	RBB	WP_012742777.1;WP_012741612.1;WP_012741459.1	1 to 2	RBB	WP_012055790.1	1 to 4	RBB	WP_041688600.1
16130114	b2176	NP_416681.1	resistance protein for phages lambda and N4, when overexpressed	0	N/A		1 to 1	RBB	WP_012743716.1	0	N/A		0	N/A	
90111401	b2177	NP_416682.4	microcin C transporter YejABEF, periplasmic binding protein; ABC family	0	N/A		0	N/A		0	N/A		0	N/A	
16130116	b2178	NP_416683.1	microcin C transporter YejABEF, permease subunit; ABC family	0	N/A		0	N/A		0	N/A		0	N/A	
16130117	b2179	NP_416684.1	microcin C transporter YejABEF, permease subunit; ABC family	0	N/A		0	N/A		0	N/A		0	N/A	
16130118	b2180	NP_416685.1	microcin C transporter, ATP-binding subunit; ABC family	0	N/A		0	N/A		0	N/A		0	N/A	
16130119	b2181	NP_416686.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16130120	b2182	NP_416687.1	bicyclomycin/multidrug efflux system	0	N/A		0	N/A		0	N/A		0	N/A	
16130121	b2183	NP_416688.1	16S rRNA U516 pseudouridine synthase	1 to 1	RBB	WP_005686446.1	1 to 1	RBB	WP_041254035.1	0	N/A		1 to 1	RBB	WP_012739266.1
16130122	b2184	NP_416689.1	predicted ATP-dependent DNA or RNA helicase	0	N/A		2 to 1	RBB	WP_041254393.1;WP_012744174.1	1 to 1	RBB	WP_011965784.1	0	N/A	
16130123	b2185	NP_416690.1	50S ribosomal subunit protein L25	0	N/A		0	N/A		1 to 1	RBB	WP_005841626.1	0	N/A	
16130124	b2186	NP_416691.1	nucleotide associated protein	0	N/A		0	N/A		0	N/A		0	N/A	
16130125	b2187	NP_416692.1	conserved protein, UPF0352 family	0	N/A		0	N/A		0	N/A		0	N/A	
16130126	b2188	NP_416693.1	predicted hydrolase, inner membrane	0	N/A		0	N/A		0	N/A		0	N/A	
16130129	b2192	NP_416696.1	IS5 transposase and trans-activator	0	N/A		0	N/A		0	N/A		0	N/A	
16130130	b2193	NP_416697.1	DNA-binding response regulator in two-component regulatory system with NarQ or NarX	0	N/A		1 to 2	RBB	WP_012744409.1	0	N/A		1 to 2	RBB	WP_012740272.1
16130131	b2194	NP_416698.1	heme lyase, CcmH subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16130132	b2195	NP_416699.1	periplasmic thioredoxin of cytochrome c-type biogenesis	0	N/A		0	N/A		2 to 1	RBB	WP_005840463.1;WP_011965407.1	0	N/A	
16130133	b2196	NP_416700.1	heme lyase, CcmF subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16130134	b2197	NP_416701.1	periplasmic heme chaperone	0	N/A		0	N/A		0	N/A		0	N/A	
16130135	b2198	NP_416702.1	cytochrome c biogenesis protein	0	N/A		0	N/A		0	N/A		0	N/A	
16130136	b2199	NP_416703.1	heme exporter subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16130137	b2200	NP_416704.1	heme exporter subunit	0	N/A		0	N/A		0	N/A		0	N/A	
90111402	b2201	NP_416705.2	heme exporter subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16130139	b2202	NP_416706.1	Quinol dehydrogenase, electron source for NapAB	0	N/A		0	N/A		0	N/A		0	N/A	
90111403	b2203	NP_416707.4	nitrate reductase, small, cytochrome C550 subunit, periplasmic	0	N/A		0	N/A		0	N/A		0	N/A	
16130141	b2204	NP_416708.1	ferredoxin-type protein essential for electron transfer from ubiquinol to periplasmic nitrate reductase (NapAB)	0	N/A		1 to 2	RBB	WP_012742864.1	0	N/A		0	N/A	
16130142	b2205	NP_416709.1	ferredoxin-type protein essential for electron transfer from ubiquinol to periplasmic nitrate reductase (NapAB)	0	N/A		0	N/A		1 to 1	RBB	WP_011964811.1	0	N/A	
16130143	b2206	NP_416710.1	nitrate reductase, periplasmic, large subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16130144	b2207	NP_416711.1	assembly protein for periplasmic nitrate reductase	0	N/A		0	N/A		0	N/A		0	N/A	
16130145	b2208	NP_416712.1	ferredoxin-type protein, role in electron transfer to periplasmic nitrate reductase NapA	0	N/A		0	N/A		0	N/A		0	N/A	
16130146	b2209	NP_416713.1	ecotin, a serine protease inhibitor	0	N/A		0	N/A		0	N/A		0	N/A	
16130147	b2210	NP_416714.1	malate dehydrogenase, FAD/NAD(P)-binding domain	0	N/A		0	N/A		0	N/A		0	N/A	
16130148	b2211	NP_416715.1	Microcin J25 efflux pump, TolC-dependent; fused ABC transporter permease and ATP-binding components	0	N/A		0	N/A		0	N/A		0	N/A	
16130149	b2212	NP_416716.1	oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions	0	N/A		0	N/A		0	N/A		0	N/A	
16130150	b2213	NP_416717.1	fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase	1 to 2	RBB	WP_005687408.1	0	N/A		1 to 2	RBB	WP_012055607.1	0	N/A	
16130151	b2214	NP_416718.1	predicted thiamine biosynthesis lipoprotein	3 to 1	RBB	WP_014570022.1;WP_014569341.1;WP_005712897.1	1 to 1	RBB	WP_012742489.1	1 to 1	RBB	WP_008669987.1	2 to 1	RBB	WP_041688423.1;WP_012738441.1
16130152	b2215	NP_416719.1	outer membrane porin protein C	0	N/A		0	N/A		0	N/A		0	N/A	
16130153	b2216	NP_416720.1	phosphotransfer intermediate protein in two-component regulatory system with RcsBC	0	N/A		0	N/A		0	N/A		0	N/A	
16130154	b2217	NP_416721.1	DNA-binding response regulator in two-component regulatory system with RcsC and YojN	0	N/A		0	N/A		0	N/A		0	N/A	
145698285	b2218	NP_416722.2	hybrid sensory kinase in two-component regulatory system with RcsB and YojN	0	N/A		0	N/A		0	N/A		0	N/A	
16130156	b2219	NP_416723.1	sensory histidine kinase in two-component regulatory system with AtoC	0	N/A		0	N/A		3 to 2	RBB	WP_041174580.1;WP_005846258.1;WP_012055575.1	0	N/A	
16130157	b2220	NP_416724.1	fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein	0	N/A		1 to 10	RBB	WP_012742061.1	1 to 1	RBB	WP_005846256.1	0	N/A	
