Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Streptococcus pneumoniae D39 - ortholog count (reference : comparison)	Streptococcus pneumoniae D39 - ortholuge status	Streptococcus pneumoniae D39 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus str. Newman - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus str. Newman - ortholuge status	Staphylococcus aureus subsp. aureus str. Newman - ortholog NCBI RefSeq accession	Bacillus subtilis subsp. subtilis str. 168 - ortholog count (reference : comparison)	Bacillus subtilis subsp. subtilis str. 168 - ortholuge status	Bacillus subtilis subsp. subtilis str. 168 - ortholog NCBI RefSeq accession
16130814	b2913	NP_417388.1	D-3-phosphoglycerate dehydrogenase	0	N/A		1 to 1	Non-SSD	WP_000808845.1	1 to 1	Non-SSD	NP_390188.2
16130815	b2914	NP_417389.1	ribose 5-phosphate isomerase, constitutive	1 to 1	RBB	YP_816216.1	1 to 1	SSD	WP_000655864.1	0	N/A	
16130817	b2916	NP_417391.1	DNA-binding transcriptional activator, replication initiation inhibitor	0	N/A		0	N/A		0	N/A	
16130818	b2917	NP_417392.1	methylmalonyl-CoA mutase	0	N/A		0	N/A		0	N/A	
16130819	b2918	NP_417393.1	membrane ATPase/protein kinase	0	N/A		0	N/A		0	N/A	
90111512	b2919	NP_417394.4	methylmalonyl-CoA decarboxylase, biotin-independent	0	N/A		0	N/A		0	N/A	
16130821	b2920	NP_417395.1	propionyl-CoA:succinate-CoA transferase	0	N/A		0	N/A		0	N/A	
90111513	b2921	NP_417396.4	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A	
16130823	b2922	NP_417397.1	oxidative stress defense protein	0	N/A		0	N/A		0	N/A	
16130824	b2923	NP_417398.1	arginine transporter	0	N/A		1 to 1	SSD	WP_000255561.1	1 to 1	RBB	NP_388967.1
16130825	b2924	NP_417399.1	mechanosensitive channel protein, small conductance	0	N/A		0	N/A		0	N/A	
16130826	b2925	NP_417400.1	fructose-bisphosphate aldolase, class II	0	N/A		0	N/A		0	N/A	
16130827	b2926	NP_417401.1	phosphoglycerate kinase	1 to 1	RBB	YP_815953.1	1 to 1	SSD	WP_001074749.1	1 to 1	SSD	NP_391273.1
16130828	b2927	NP_417402.1	D-erythrose 4-phosphate dehydrogenase	0	N/A		0	N/A		0	N/A	
16130829	b2928	NP_417403.1	conserved protein with nucleoside triphosphate hydrolase domain	0	N/A		0	N/A		0	N/A	
16130830	b2929	NP_417404.1	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A	
16130831	b2930	NP_417405.1	fructose 1,6 bisphosphatase isozyme	0	N/A		0	N/A		2 to 1	RBB	NP_391590.1
16130834	b2933	NP_417408.1	predicted fused mannitol-specific PTS enzymes: IIB component/IIC component	0	N/A		0	N/A		0	N/A	
16130835	b2934	NP_417409.1	predicted mannitol-specific enzyme IIA component of PTS	1 to 1	RBB	YP_817349.1	1 to 3	RBB	WP_000050762.1	0	N/A	
49176286	b2935	YP_026188.1	transketolase 1, thiamin-binding	1 to 2	RBB	YP_817246.1	1 to 2	RBB	WP_000481442.1	2 to 1	SSD	NP_389672.1
90111514	b2936	NP_417411.2	heat shock protein binding to Era protein; predicted peptidase	0	N/A		0	N/A		0	N/A	
16130838	b2937	NP_417412.1	agmatinase	0	N/A		1 to 1	RBB	WP_000167867.1	1 to 1	RBB	NP_391629.1
16130839	b2938	NP_417413.1	biosynthetic arginine decarboxylase, PLP-binding	0	N/A		0	N/A		0	N/A	
145698307	b2939	NP_417414.2	predicted protein	0	N/A		0	N/A		0	N/A	
16130841	b2940	NP_417415.1	predicted protein	0	N/A		0	N/A		0	N/A	
16130843	b2942	NP_417417.1	S-adenosylmethionine synthetase	1 to 1	SSD	YP_816158.1	1 to 1	SSD	WP_000933822.1	1 to 1	SSD	NP_390933.1
16130844	b2943	NP_417418.1	D-galactose transporter	0	N/A		0	N/A		2 to 4	RBB	NP_388504.1;NP_388707.1;NP_391464.2;NP_391860.1
16130845	b2944	NP_417419.1	conserved protein	0	N/A		0	N/A		0	N/A	
16130846	b2945	NP_417420.1	DNA-specific endonuclease I	0	N/A		0	N/A		1 to 1	RBB	NP_391134.1
90111515	b2946	NP_417421.4	16S rRNA m(3)U1498 methyltransferase, SAM-dependent	1 to 1	RBB	YP_817025.1	1 to 1	RBB	WP_001190128.1	1 to 1	SSD	NP_390422.1
16130848	b2947	NP_417422.1	glutathione synthetase	0	N/A		0	N/A		0	N/A	
90111516	b2948	NP_417423.4	predicted protein	0	N/A		0	N/A		0	N/A	
16130850	b2949	NP_417424.1	predicted Holliday junction resolvase	1 to 1	RBB	YP_815700.1	1 to 1	RBB	WP_000939059.1	1 to 1	SSD	NP_390617.1
90111517	b2950	NP_417425.2	predicted pilus retraction ATPase	0	N/A		0	N/A		0	N/A	
16130852	b2951	NP_417426.1	predicted enzyme, binds pyridoxal 5'-phosphate	1 to 1	Borderline-SSD	YP_816934.1	1 to 1	RBB	WP_001263988.1	1 to 1	SSD	NP_389421.1
16130853	b2952	NP_417427.1	predicted inner membrane protein	0	N/A		0	N/A		1 to 1	RBB	NP_389423.1
90111518	b2953	NP_417428.2	conserved protein, UPF0235 family	0	N/A		0	N/A		0	N/A	
16130855	b2954	NP_417429.1	dITP/XTP pyrophosphatase	1 to 1	SSD	YP_817110.1	1 to 1	SSD	WP_000659317.1	1 to 1	SSD	NP_390714.1
16130856	b2955	NP_417430.1	predicted oxidoreductase, HemN family	1 to 1	RBB	YP_816707.1	1 to 1	RBB	WP_000218090.1	1 to 1	SSD	NP_390428.2
16130857	b2956	NP_417431.1	conserved protein	0	N/A		0	N/A		0	N/A	
16130858	b2957	NP_417432.1	periplasmic L-asparaginase II	1 to 1	SSD	YP_817217.1	1 to 1	RBB	WP_000681756.1	1 to 1	RBB	NP_388151.1
16130859	b2958	NP_417433.1	predicted protein	0	N/A		0	N/A		0	N/A	
90111519	b2959	NP_417434.4	conserved protein, DUF469 family	0	N/A		0	N/A		0	N/A	
16130861	b2960	NP_417435.1	tRNA m(7)G46 methyltransferase, SAM-dependent	1 to 1	Non-SSD	YP_815983.1	1 to 1	RBB	WP_001266167.1	1 to 1	Borderline-SSD	NP_390868.1
16130862	b2961	NP_417436.1	adenine DNA glycosylase	1 to 1	SSD	YP_816557.1	1 to 1	SSD	WP_000284752.1	1 to 1	SSD	NP_388743.1
16130863	b2962	NP_417437.1	protein that protects iron-sulfur proteins against oxidative damage	0	N/A		0	N/A		0	N/A	
90111520	b2963	NP_417438.2	membrane-bound lytic murein transglycosylase C	0	N/A		0	N/A		0	N/A	
90111521	b2964	NP_417439.4	nucleoside transporter	0	N/A		0	N/A		0	N/A	
90111522	b2965	NP_417440.4	ornithine decarboxylase, constitutive	1 to 5	RBB	YP_816293.1	0	N/A		5 to 2	RBB	NP_387908.1;NP_389346.1
16130867	b2966	NP_417441.1	predicted inner membrane protein, DUF554 family	0	N/A		0	N/A		0	N/A	
16130868	b2968	NP_417442.1	predicted secretion pathway M-type protein, membrane anchored	0	N/A		0	N/A		0	N/A	
16130871	b2971	NP_417445.1	predicted protein	0	N/A		0	N/A		0	N/A	
90111523	b2972	NP_417446.4	bifunctional prepilin leader peptidase/ methylase	1 to 1	RBB	YP_817045.1	1 to 1	RBB	WP_000261115.1	1 to 1	SSD	NP_390685.2
16130875	b2975	NP_417449.1	glycolate transporter	0	N/A		1 to 1	RBB	WP_000173902.1	2 to 1	RBB	NP_391299.1
16130876	b2976	NP_417450.1	malate synthase G	0	N/A		0	N/A		0	N/A	
16130877	b2977	NP_417451.1	conserved protein	0	N/A		0	N/A		0	N/A	
16130879	b2979	NP_417453.1	glycolate oxidase subunit, FAD-linked	0	N/A		0	N/A		1 to 1	SSD	NP_390746.1
16130880	b2980	NP_417454.1	DNA-binding transcriptional dual regulator, glycolate-binding	0	N/A		0	N/A		4 to 1	RBB	NP_391298.2
16130882	b2982	NP_417456.1	IS5 transposase and trans-activator	0	N/A		0	N/A		0	N/A	
49176296	b2983	YP_026192.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A	
16130884	b2984	NP_417458.1	predicted ATP-binding protein	0	N/A		0	N/A		0	N/A	
16130885	b2985	NP_417459.1	predicted ATP-binding protein	0	N/A		0	N/A		0	N/A	
16130886	b2986	NP_417460.1	predicted ATP-binding protein	0	N/A		0	N/A		0	N/A	
16130887	b2987	NP_417461.1	phosphate transporter	0	N/A		1 to 2	RBB	WP_000120368.1	2 to 1	RBB	NP_389167.2
16130888	b2988	NP_417462.1	fused glutathionylspermidine amidase/glutathionylspermidine synthetase	0	N/A		0	N/A		0	N/A	
90111524	b2989	NP_417463.4	predicted S-transferase	1 to 1	RBB	YP_816842.1	0	N/A		0	N/A	
16130890	b2990	NP_417464.1	hydrogenase 2 accessory protein	0	N/A		0	N/A		0	N/A	
16130891	b2991	NP_417465.1	protein involved with the maturation of hydrogenases 1 and 2	0	N/A		0	N/A		0	N/A	
16130892	b2992	NP_417466.1	hydrogenase 2-specific chaperone	0	N/A		0	N/A		0	N/A	
16130893	b2993	NP_417467.1	maturation protease for hydrogenase 2	0	N/A		0	N/A		0	N/A	
16130894	b2994	NP_417468.1	hydrogenase 2, large subunit	0	N/A		0	N/A		0	N/A	
16130895	b2995	NP_417469.1	predicted hydrogenase 2 cytochrome b type component	0	N/A		0	N/A		0	N/A	
16130896	b2996	NP_417470.1	hydrogenase 2 4Fe-4S ferredoxin-type component	0	N/A		0	N/A		0	N/A	
16130897	b2997	NP_417471.1	hydrogenase 2, small subunit	0	N/A		0	N/A		0	N/A	
16130898	b2998	NP_417472.1	predicted protein	0	N/A		0	N/A		0	N/A	
16130899	b3001	NP_417474.1	L-glyceraldehyde 3-phosphate reductase	0	N/A		0	N/A		0	N/A	
16130900	b3002	NP_417475.1	predicted inner membrane protein, UPF0114 family	0	N/A		0	N/A		0	N/A	
16130901	b3003	NP_417476.1	predicted oxidoreductase	0	N/A		1 to 1	RBB	WP_000730043.1	1 to 1	SSD	NP_388924.1
16130903	b3005	NP_417478.1	membrane spanning protein in TonB-ExbB-ExbD complex	0	N/A		0	N/A		0	N/A	
16130904	b3006	NP_417479.1	membrane spanning protein in TonB-ExbB-ExbD complex	0	N/A		0	N/A		0	N/A	
16130906	b3008	NP_417481.1	cystathionine beta-lyase, PLP-dependent	0	N/A		0	N/A		0	N/A	
16130907	b3009	NP_417482.1	required, with yqjA, for membrane integrity; inner membrane protein	0	N/A		0	N/A		0	N/A	
90111526	b3010	NP_417483.2	transcriptional activator of yqhD	0	N/A		0	N/A		0	N/A	
16130909	b3011	NP_417484.1	aldehyde reductase, NADPH-dependent	0	N/A		0	N/A		1 to 2	RBB	NP_391014.1;NP_391015.1
90111527	b3012	NP_417485.4	2,5-diketo-D-gluconate reductase A	1 to 1	RBB	YP_816774.1	1 to 1	RBB	WP_000931237.1	1 to 2	RBB	NP_390783.1;NP_391220.1
49176301	b3013	YP_026195.1	conserved protein	0	N/A		0	N/A		0	N/A	
16130912	b3014	NP_417487.1	outer membrane lipoprotein, Lpp paralog	0	N/A		0	N/A		0	N/A	
16130913	b3017	NP_417489.1	septal ring component that protects the divisome from stress; multicopy suppressor of ftsI(Ts)	0	N/A		0	N/A		2 to 1	RBB	NP_388511.1
16130914	b3018	NP_417490.1	1-acyl-sn-glycerol-3-phosphate acyltransferase	0	N/A		0	N/A		0	N/A	
16130915	b3019	NP_417491.1	DNA topoisomerase IV, subunit A	0	N/A		0	N/A		0	N/A	
16130916	b3020	NP_417492.1	predicted transporter subunit: periplasmic-binding component of ABC superfamily	3 to 3	RBB	YP_817120.1;YP_816818.1;YP_815848.1	1 to 3	RBB	WP_000197019.1	3 to 2	RBB	NP_389025.1;NP_389179.2
16130917	b3021	NP_417493.1	antitoxin for MqsR toxin; predicted transcriptional regulator	0	N/A		0	N/A		0	N/A	
16130918	b3022	NP_417494.1	GCU-specific mRNA interferase toxin of the MqsR-MqsA toxin-antitoxin system and biofilm/motility regulator	0	N/A		0	N/A		0	N/A	
49176303	b3023	YP_026197.1	transcriptional repressor for mcbR biofilm gene	0	N/A		0	N/A		0	N/A	
16130920	b3024	NP_417496.1	conserved protein	0	N/A		0	N/A		0	N/A	
16130921	b3025	NP_417497.1	quorum sensing DNA-binding response regulator in two-component regulatory system with QseC	1 to 1	RBB	YP_816195.1	0	N/A		0	N/A	
16130922	b3026	NP_417498.1	quorum sensing sensory histidine kinase in two-component regulatory system with QseB	0	N/A		0	N/A		0	N/A	
16130923	b3027	NP_417499.1	inner membrane protein	0	N/A		0	N/A		0	N/A	
16130924	b3028	NP_417500.1	NADPH quinone reductase	0	N/A		0	N/A		0	N/A	
16130925	b3029	NP_417501.1	quinol monooxygenase	0	N/A		0	N/A		0	N/A	
16130926	b3030	NP_417502.1	DNA topoisomerase IV, subunit B	0	N/A		0	N/A		0	N/A	
16130927	b3031	NP_417503.1	acyl CoA esterase in vitro	0	N/A		0	N/A		0	N/A	
16130928	b3032	NP_417504.1	3',5' cAMP phosphodiesterase	0	N/A		0	N/A		0	N/A	
16130929	b3033	NP_417505.1	predicted dehydrogenase	0	N/A		0	N/A		0	N/A	
16130930	b3034	NP_417506.1	ADP-ribose pyrophosphatase	0	N/A		1 to 2	RBB	WP_000365246.1	2 to 1	RBB	NP_390242.1
90111528	b3035	NP_417507.2	transport channel	0	N/A		0	N/A		0	N/A	
145698308	b3037	NP_417509.3	conserved protein, UPF0441 family	0	N/A		0	N/A		0	N/A	
16130934	b3038	NP_417510.1	Glutathionylspermidine synthase homolog	0	N/A		0	N/A		0	N/A	
226524747	b3039	NP_417511.2	predicted dioxygenase, LigB family	0	N/A		0	N/A		0	N/A	
16130936	b3040	NP_417512.1	zinc transporter	0	N/A		0	N/A		0	N/A	
16130937	b3041	NP_417513.1	3,4-dihydroxy-2-butanone-4-phosphate synthase	1 to 1	RBB	YP_815686.1	1 to 1	SSD	WP_001159022.1	0	N/A	
90111530	b3042	NP_417514.4	conserved protein	0	N/A		0	N/A		0	N/A	
16130939	b3043	NP_417515.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A	
145698309	b3044	NP_417516.3	IS2 repressor TnpA	0	N/A		0	N/A		0	N/A	
16130941	b3045	NP_417517.1	IS2 transposase TnpB	0	N/A		0	N/A		0	N/A	
90111532	b3047	NP_417519.4	predicted periplasmic pilin chaperone	0	N/A		0	N/A		0	N/A	
16130944	b3048	NP_417520.1	conserved protein	0	N/A		0	N/A		0	N/A	
16130945	b3049	NP_417521.1	predicted glycogen synthesis protein	0	N/A		0	N/A		0	N/A	
16130946	b3050	NP_417522.1	inner membrane protein, DUF1449 family	0	N/A		0	N/A		0	N/A	
16130947	b3051	NP_417523.1	conserved protein	0	N/A		0	N/A		1 to 1	RBB	NP_390979.1
16130948	b3052	NP_417524.1	fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase	0	N/A		1 to 1	SSD	WP_000832260.1	1 to 1	RBB	NP_391455.1
16130949	b3053	NP_417525.1	fused deadenylyltransferase/adenylyltransferase for glutamine synthetase	0	N/A		0	N/A		0	N/A	
16130950	b3054	NP_417526.1	predicted adenylate cyclase	0	N/A		1 to 1	RBB	WP_000224622.1	0	N/A	
16130951	b3055	NP_417527.1	SH3 domain protein	0	N/A		0	N/A		0	N/A	
16130952	b3056	NP_417528.1	fused tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase and phosphatase	0	N/A		0	N/A		0	N/A	
16130953	b3057	NP_417529.1	undecaprenyl pyrophosphate phosphatase	1 to 1	SSD	YP_815925.1	1 to 1	RBB	WP_000469890.1	1 to 1	SSD	NP_390993.1
90111533	b3058	NP_417530.2	bifunctional dihydroneopterin aldolase/dihydroneopterin triphosphate 2'-epimerase	0	N/A		0	N/A		1 to 1	RBB	NP_387959.1
16130955	b3059	NP_417531.1	probable glycerol-3-phosphate acyltransferase	1 to 1	RBB	YP_816235.1	1 to 1	RBB	WP_000972781.1	1 to 1	RBB	NP_389689.1
16130956	b3060	NP_417532.1	transcriptional activator of ttdABT	0	N/A		0	N/A		0	N/A	
16130957	b3061	NP_417533.1	L-tartrate dehydratase, alpha subunit	0	N/A		0	N/A		0	N/A	
16130958	b3062	NP_417534.1	L-tartrate dehydratase, beta subunit	0	N/A		0	N/A		0	N/A	
16130959	b3063	NP_417535.1	L-tartrate/succinate antiporte	0	N/A		1 to 2	RBB	WP_000432356.1	0	N/A	
16130960	b3064	NP_417536.1	glycation-binding protein, predicted protease/chaperone; essential for genome maintenance	1 to 1	SSD	YP_815656.1	1 to 1	SSD	WP_000159034.1	1 to 1	SSD	NP_388475.1
16130961	b3065	NP_417537.1	30S ribosomal subunit protein S21	1 to 1	RBB	YP_816712.1	1 to 1	RBB	WP_000048060.1	1 to 1	SSD	NP_390419.1
16130962	b3066	NP_417538.1	DNA primase	1 to 1	SSD	YP_816434.1	1 to 1	RBB	WP_001217261.1	1 to 1	SSD	NP_390400.2
16130963	b3067	NP_417539.1	RNA polymerase, sigma 70 (sigma D) factor	1 to 1	SSD	YP_816435.1	1 to 1	RBB	WP_001283055.1	1 to 1	SSD	NP_390399.2
16130964	b3068	NP_417540.1	G/U mismatch-specific DNA glycosylase; xanthine DNA glycosylase	0	N/A		0	N/A		0	N/A	
16130965	b3070	NP_417541.1	predicted siderophore interacting protein	0	N/A		0	N/A		0	N/A	
16130966	b3071	NP_417542.1	predicted transcriptional regulator, PadR family	0	N/A		0	N/A		0	N/A	
16130967	b3072	NP_417543.1	fused signal transducer for aerotaxis sensory component/methyl accepting chemotaxis component	0	N/A		0	N/A		0	N/A	
145698310	b3073	NP_417544.5	putrescine:2-oxoglutaric acid aminotransferase, PLP-dependent	0	N/A		0	N/A		0	N/A	
16130969	b3074	NP_417545.1	conserved tRNA binding protein	0	N/A		0	N/A		0	N/A	
16130970	b3075	NP_417546.1	DNA-binding transcriptional repressor	1 to 1	RBB	YP_817086.1	0	N/A		1 to 1	RBB	NP_390904.1
49176308	b3076	YP_026199.1	cryptic beta-D-galactosidase, alpha subunit	1 to 3	RBB	YP_816062.1	0	N/A		0	N/A	
16130972	b3077	NP_417548.1	cryptic beta-D-galactosidase, beta subunit	0	N/A		0	N/A		0	N/A	
49176309	b3078	YP_026200.1	predicted transporter	0	N/A		0	N/A		0	N/A	
16130974	b3079	NP_417550.1	conserved protein	0	N/A		0	N/A		0	N/A	
16130975	b3080	NP_417551.1	alpha-glucosidase	0	N/A		0	N/A		0	N/A	
16130976	b3081	NP_417552.1	2,4-dienoyl-CoA reductase, NADH and FMN-linked	0	N/A		1 to 2	RBB	WP_000838037.1	0	N/A	
16130977	b3082	NP_417553.1	antitoxinof the HigB-HigA toxin-antitoxin system	0	N/A		0	N/A		0	N/A	
16130978	b3083	NP_417554.1	mRNA interferase toxin of the HigB-HigA toxin-antitoxin system	0	N/A		0	N/A		0	N/A	
90111535	b3084	NP_417555.4	23S rRNA mG1835 methyltransferase, SAM-dependent	1 to 2	RBB	YP_816227.1	1 to 2	RBB	WP_000020304.1	2 to 1	RBB	NP_387987.1
90111536	b3085	NP_417556.2	predicted metal dependent hydrolase	0	N/A		0	N/A		0	N/A	
16130981	b3086	NP_417557.1	conserved protein, SanA family, DUF218 superfamily	0	N/A		1 to 1	RBB	WP_001549718.1	0	N/A	
145698311	b3087	NP_417558.2	predicted NAD(P)-binding dehydrogenase	1 to 1	RBB	YP_816777.1	0	N/A		1 to 1	RBB	NP_390995.1
49176311	b3088	YP_026201.1	inner membrane protein, part of terminus	0	N/A		0	N/A		0	N/A	
16130984	b3089	NP_417560.1	sodium:serine/threonine symporter	1 to 1	RBB	YP_817016.1	0	N/A		0	N/A	
16130985	b3090	NP_417561.1	inner membrane protein, Imp-YgjV family	0	N/A		0	N/A		0	N/A	
16130986	b3091	NP_417562.1	altronate hydrolase	0	N/A		0	N/A		1 to 1	SSD	NP_389121.2
16130987	b3092	NP_417563.1	uronate isomerase	0	N/A		0	N/A		1 to 1	RBB	NP_389112.1
16130988	b3093	NP_417564.1	hexuronate transporter	0	N/A		0	N/A		0	N/A	
90111537	b3094	NP_417565.2	DNA-binding transcriptional repressor	0	N/A		0	N/A		0	N/A	
16130990	b3095	NP_417566.1	required, with yghB, for membrane integrity; inner membrane protein	0	N/A		1 to 2	RBB	WP_000435044.1	2 to 3	RBB	NP_388110.1;NP_389226.1;NP_389701.1
16130991	b3096	NP_417567.1	modulator of EnvZ/OmpR regulon	0	N/A		0	N/A		0	N/A	
90111538	b3097	NP_417568.2	conserved protein	0	N/A		0	N/A		0	N/A	
16130993	b3098	NP_417569.1	conserved protein	0	N/A		0	N/A		0	N/A	
16130994	b3099	NP_417570.1	inner membrane protein, DUF1469 family	0	N/A		0	N/A		0	N/A	
16130995	b3100	NP_417571.1	conserved protein	0	N/A		0	N/A		0	N/A	
90111539	b3101	NP_417572.2	predicted quinol oxidase subunit	0	N/A		0	N/A		1 to 1	RBB	NP_388704.1
16130997	b3102	NP_417573.1	predicted S-transferase	0	N/A		0	N/A		0	N/A	
16130998	b3103	NP_417574.1	inner membrane protein, DUF805 family	0	N/A		0	N/A		0	N/A	
16130999	b3104	NP_417575.1	inner membrane protein, DUF805 family	0	N/A		0	N/A		0	N/A	
16131000	b3105	NP_417576.1	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A	
16131001	b3106	NP_417577.1	redox-sensitive bicupin	0	N/A		0	N/A		0	N/A	
90111540	b3107	NP_417578.2	predicted protein	0	N/A		0	N/A		0	N/A	
145698312	b3110	YP_026203.3	predicted transporter	0	N/A		0	N/A		0	N/A	
90111542	b3113	NP_417583.4	predicted L-PSP (mRNA) endoribonuclease	1 to 2	RBB	YP_816857.1	1 to 2	RBB	WP_000691766.1	2 to 1	RBB	NP_387929.1
49176316	b3114	YP_026205.1	pyruvate formate-lyase 4/2-ketobutyrate formate-lyase	1 to 2	RBB	YP_815928.1	1 to 2	RBB	WP_000894660.1	0	N/A	
145698313	b3115	NP_417585.2	propionate kinase/acetate kinase C, anaerobic	1 to 2	RBB	YP_817260.1	0	N/A		1 to 1	RBB	NP_390825.1
16131009	b3116	NP_417586.1	L-threonine/L-serine transporter	0	N/A		0	N/A		0	N/A	
16131010	b3117	NP_417587.1	catabolic threonine dehydratase, PLP-dependent	0	N/A		1 to 1	RBB	WP_000210828.1	0	N/A	
16131011	b3118	NP_417588.1	DNA-binding transcriptional activator	1 to 7	RBB	YP_816087.1	0	N/A		0	N/A	
162135908	b3119	NP_417589.4	DNA-binding transcriptional activator	0	N/A		0	N/A		0	N/A	
90111544	b3120	NP_417590.2	predicted protein	0	N/A		0	N/A		0	N/A	
16131014	b3121	NP_417591.1	predicted protein	0	N/A		0	N/A		0	N/A	
145698314	b3124	NP_417593.4	glycerate kinase I	1 to 2	RBB	YP_816484.1	1 to 2	RBB	WP_001176863.1	1 to 1	RBB	NP_391884.2
145698315	b3125	NP_417594.3	tartronate semialdehyde reductase	0	N/A		0	N/A		2 to 1	RBB	NP_389279.1
16131018	b3126	NP_417595.1	alpha-dehydro-beta-deoxy-D-glucarate aldolase	0	N/A		1 to 2	RBB	WP_001186806.1	0	N/A	
16131019	b3127	NP_417596.1	predicted (D)-galactarate transporter	0	N/A		1 to 4	RBB	WP_000660709.1	0	N/A	
16131020	b3128	NP_417597.1	(D)-galactarate dehydrogenase	0	N/A		0	N/A		1 to 1	RBB	NP_388133.2
16131021	b3129	NP_417598.1	antitoxin of the SohA(PrlF)-YhaV toxin-antitoxin system	0	N/A		0	N/A		0	N/A	
16131022	b3130	NP_417599.1	toxin of the SohB(PrlF)-YhaV toxin-antitoxin system	0	N/A		0	N/A		0	N/A	
16131023	b3131	NP_417600.1	DNA-binding transcriptional repressor of the aga regulon	0	N/A		1 to 2	RBB	WP_000587344.1	2 to 1	RBB	NP_390999.1
16131024	b3132	NP_417601.1	tagatose 6-phosphate aldolase 1, kbaZ subunit	0	N/A		0	N/A		0	N/A	
90111546	b3133	NP_417602.4	N-acetylgalactosamine-specific enzyme IIB component of PTS	1 to 1	RBB	YP_815812.1	0	N/A		0	N/A	
16131028	b3136	NP_417605.1	tagatose-6-phosphate ketose/aldose isomerase	1 to 1	RBB	YP_815524.1	0	N/A		0	N/A	
16131029	b3137	NP_417606.1	tagatose 6-phosphate aldolase 1, kbaY subunit	1 to 3	RBB	YP_816028.1	1 to 2	RBB	WP_001131841.1	2 to 1	RBB	NP_391593.1
16131030	b3138	NP_417607.1	N-acetylgalactosamine-specific enzyme IIB component of PTS	0	N/A		0	N/A		0	N/A	
16131031	b3139	NP_417608.1	N-acetylgalactosamine-specific enzyme IIC component of PTS	1 to 1	RBB	YP_815813.1	0	N/A		0	N/A	
16131032	b3140	NP_417609.1	N-acetylgalactosamine-specific enzyme IID component of PTS	1 to 1	RBB	YP_815814.1	0	N/A		0	N/A	
16131033	b3141	NP_417610.1	galactosamine-6-phosphate isomerase	0	N/A		0	N/A		0	N/A	
16131034	b3142	NP_417611.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A	
16131035	b3143	NP_417612.1	predicted periplasmic pilin chaperone	0	N/A		0	N/A		0	N/A	
16131036	b3144	NP_417613.1	predicted outer membrane protein	0	N/A		0	N/A		0	N/A	
16131037	b3145	NP_417614.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A	
16131038	b3146	NP_417615.1	16S rRNA C1402 ribose 2'-O-methyltransferase, SAM-dependent	1 to 1	RBB	YP_816311.1	1 to 1	RBB	WP_000279926.1	1 to 1	RBB	NP_387917.1
16131039	b3147	NP_417616.1	conserved protein	0	N/A		0	N/A		0	N/A	
16131040	b3148	NP_417617.1	conserved protein, UPF0102 family	0	N/A		0	N/A		0	N/A	
16131041	b3149	NP_417618.1	DnaA initiator-associating factor for replication initiation	0	N/A		0	N/A		0	N/A	
16131042	b3150	NP_417619.1	OM lipoprotein	0	N/A		0	N/A		0	N/A	
16131043	b3151	NP_417620.1	predicted permease	0	N/A		0	N/A		0	N/A	
90111547	b3152	NP_417621.2	predicted nucleoside-diphosphate-sugar epimerase	0	N/A		0	N/A		0	N/A	
90111548	b3153	NP_417622.2	stress-resistance protein	0	N/A		1 to 1	SSD	WP_000163283.1	1 to 1	RBB	NP_388666.1
16131046	b3154	NP_417623.1	conserved protein, UPF0306 family	0	N/A		0	N/A		0	N/A	
16131047	b3155	NP_417624.1	conserved protein, GIY-YIG nuclease superfamily	1 to 1	RBB	YP_816824.1	0	N/A		1 to 1	RBB	NP_387916.1
16131048	b3156	NP_417625.1	predicted acyltransferase with acyl-CoA N-acyltransferase domain	0	N/A		0	N/A		0	N/A	
16131049	b3157	NP_417626.1	predicted lipid carrier protein, COG3154 family	0	N/A		0	N/A		0	N/A	
16131050	b3158	NP_417627.1	predicted peptidase (collagenase-like)	0	N/A		0	N/A		0	N/A	
90111549	b3159	NP_417628.2	predicted protease	0	N/A		0	N/A		0	N/A	
16131052	b3160	NP_417629.1	predicted enzyme	0	N/A		1 to 1	RBB	WP_000985886.1	1 to 1	RBB	NP_391278.1
16131053	b3161	NP_417630.1	tryptophan transporter of high affinity	0	N/A		0	N/A		0	N/A	
90111550	b3162	NP_417631.2	ATP-dependent RNA helicase	1 to 1	Borderline-SSD	YP_816872.1	1 to 1	RBB	WP_001178942.1	1 to 1	SSD	NP_388339.1
16131055	b3163	NP_417632.1	lipoprotein involved in osmotic sensitivity and filamentation	0	N/A		0	N/A		0	N/A	
