Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Pseudomonas stutzeri DSM 10701 - ortholog count (reference : comparison)	Pseudomonas stutzeri DSM 10701 - ortholuge status	Pseudomonas stutzeri DSM 10701 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa DK2 - ortholog count (reference : comparison)	Pseudomonas aeruginosa DK2 - ortholuge status	Pseudomonas aeruginosa DK2 - ortholog NCBI RefSeq accession	Propionibacterium propionicum F0230a - ortholog count (reference : comparison)	Propionibacterium propionicum F0230a - ortholuge status	Propionibacterium propionicum F0230a - ortholog NCBI RefSeq accession	Pseudomonas putida S16 - ortholog count (reference : comparison)	Pseudomonas putida S16 - ortholuge status	Pseudomonas putida S16 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa NCGM2.S1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa NCGM2.S1 - ortholuge status	Pseudomonas aeruginosa NCGM2.S1 - ortholog NCBI RefSeq accession	Corynebacterium kroppenstedtii DSM 44385 - ortholog count (reference : comparison)	Corynebacterium kroppenstedtii DSM 44385 - ortholuge status	Corynebacterium kroppenstedtii DSM 44385 - ortholog NCBI RefSeq accession	Pseudomonas mendocina ymp - ortholog count (reference : comparison)	Pseudomonas mendocina ymp - ortholuge status	Pseudomonas mendocina ymp - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PA7 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PA7 - ortholuge status	Pseudomonas aeruginosa PA7 - ortholog NCBI RefSeq accession	Neisseria meningitidis MC58 - ortholog count (reference : comparison)	Neisseria meningitidis MC58 - ortholuge status	Neisseria meningitidis MC58 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Pseudomonas putida KT2440 - ortholog count (reference : comparison)	Pseudomonas putida KT2440 - ortholuge status	Pseudomonas putida KT2440 - ortholog NCBI RefSeq accession	Neisseria gonorrhoeae FA 1090 - ortholog count (reference : comparison)	Neisseria gonorrhoeae FA 1090 - ortholuge status	Neisseria gonorrhoeae FA 1090 - ortholog NCBI RefSeq accession
16130313	b2381	NP_416882.1	predicted response regulator in two-component system with YpdA	1 to 2	RBB	WP_014851399.1	1 to 2	RBB	WP_003096397.1	0	N/A		1 to 2	RBB	WP_013970382.1	1 to 2	RBB	WP_003096397.1	0	N/A		1 to 2	RBB	WP_003242397.1	1 to 2	RBB	WP_003157680.1	0	N/A		1 to 2	RBB	WP_003096397.1	1 to 2	RBB	NP_742354.1	0	N/A	
16130314	b2382	NP_416883.1	predicted DNA-binding protein	2 to 2	RBB	WP_014852385.1;WP_014852383.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130315	b2383	NP_416884.1	fused predicted PTS enzymes: Hpr component/enzyme I component/enzyme IIA component	0	N/A		0	N/A		0	N/A		1 to 2	RBB	WP_013970961.1	0	N/A		1 to 4	RBB	WP_012731728.1	0	N/A		0	N/A		1 to 2	RBB	NP_275034.1	0	N/A		1 to 2	RBB	NP_742954.1	2 to 1	RBB	YP_209058.1
16130316	b2384	NP_416885.1	aminopeptidase	1 to 3	RBB	WP_014852185.1	1 to 3	RBB	WP_003116980.1	0	N/A		0	N/A		1 to 2	RBB	WP_003088971.1	0	N/A		0	N/A		1 to 3	RBB	WP_012075891.1	0	N/A		1 to 2	RBB	WP_011666677.1	0	N/A		0	N/A	
16130317	b2385	NP_416886.1	Xaa-Pro aminopeptidase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041629285.1	0	N/A		0	N/A		1 to 1	RBB	NP_274440.1	0	N/A		0	N/A		1 to 1	Non-SSD	YP_208509.1
16130318	b2386	NP_416887.1	predicted enzyme IIC component of PTS	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130319	b2387	NP_416888.1	predicted enzyme IIB component of PTS	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130320	b2388	NP_416889.1	glucokinase	1 to 1	SSD	WP_014853292.1	1 to 1	SSD	WP_003114838.1	0	N/A		1 to 1	SSD	WP_013971121.1	1 to 1	SSD	WP_003091477.1	0	N/A		1 to 1	SSD	WP_012017820.1	1 to 1	SSD	WP_012075001.1	1 to 1	SSD	NP_274404.1	1 to 1	SSD	WP_003091477.1	1 to 1	SSD	NP_743172.1	1 to 1	RBB	YP_207849.1
16130321	b2389	NP_416890.1	predicted ion channel protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130322	b2390	NP_416891.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130324	b2392	NP_416893.1	manganese/divalent cation transporter	0	N/A		2 to 1	RBB	WP_003116498.1;WP_003116190.1	0	N/A		0	N/A		2 to 1	RBB	WP_003085651.1;WP_003093940.1	1 to 1	RBB	WP_012731845.1	0	N/A		1 to 1	RBB	WP_033999779.1	0	N/A		2 to 1	RBB	WP_003141228.1;WP_003106624.1	0	N/A		0	N/A	
16130325	b2393	NP_416894.1	nucleoside (except guanosine) transporter	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111427	b2394	NP_416895.2	IS186 transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111428	b2395	NP_416896.4	predicted diguanylate cyclase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111429	b2398	NP_416897.2	predicted DNA-binding protein, DUF1323 family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
226524736	b2399	NP_416898.3	conserved protein, DUF1323 family; N-terminal HTH domain of the MerR superfamily	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130330	b2400	NP_416899.1	glutamyl-tRNA synthetase	1 to 1	Non-SSD	WP_014852462.1	1 to 1	Non-SSD	WP_003116436.1	1 to 1	RBB	WP_014847264.1	1 to 1	Non-SSD	WP_013971593.1	1 to 1	Non-SSD	WP_003091417.1	1 to 1	RBB	WP_041628848.1	1 to 1	Non-SSD	WP_012018956.1	1 to 1	Non-SSD	WP_012075044.1	1 to 1	SSD	NP_273069.1	1 to 1	Non-SSD	WP_003130541.1	1 to 1	Non-SSD	NP_744128.1	1 to 1	SSD	YP_208951.1
16130331	b2405	NP_416900.1	DNA-binding transcriptional activator for for xapAB	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130332	b2406	NP_416901.1	xanthosine transporter	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130333	b2407	NP_416902.1	purine nucleoside phosphorylase II	0	N/A		1 to 1	Non-SSD	WP_003118091.1	1 to 1	RBB	WP_041696307.1	0	N/A		1 to 1	Non-SSD	WP_003091193.1	0	N/A		1 to 1	Non-SSD	WP_012018130.1	1 to 1	Non-SSD	WP_012075151.1	0	N/A		1 to 1	Non-SSD	WP_003091193.1	0	N/A		0	N/A	
16130334	b2408	NP_416903.1	predicted outer membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130335	b2409	NP_416904.1	predicted DNA-binding transcriptional regulator	1 to 2	RBB	WP_014854651.1	1 to 2	RBB	WP_003088564.1	0	N/A		0	N/A		1 to 2	RBB	WP_003088564.1	0	N/A		1 to 2	RBB	WP_012017815.1	0	N/A		0	N/A		1 to 2	RBB	WP_003088564.1	0	N/A		0	N/A	
16130336	b2410	NP_416905.1	predicted inner membrane protein	1 to 1	RBB	WP_014850979.1	1 to 1	RBB	WP_003100363.1	1 to 1	RBB	WP_041697304.1	1 to 1	RBB	WP_023663275.1	1 to 1	RBB	WP_003088644.1	1 to 1	RBB	WP_012732683.1	1 to 1	RBB	WP_003241132.1	1 to 1	RBB	WP_003154745.1	0	N/A		1 to 1	RBB	WP_003128792.1	1 to 1	RBB	NP_745021.1	0	N/A	
16130337	b2411	NP_416906.1	DNA ligase, NAD(+)-dependent	1 to 1	SSD	WP_014852629.1	1 to 1	SSD	WP_003083353.1	1 to 1	RBB	WP_041697573.1	1 to 1	SSD	WP_013973519.1	1 to 1	SSD	WP_003087229.1	1 to 1	RBB	WP_041629412.1	1 to 1	SSD	WP_012018964.1	1 to 1	SSD	WP_012076363.1	1 to 1	SSD	NP_273708.1	1 to 1	SSD	WP_003140219.1	1 to 1	SSD	NP_746390.1	1 to 1	SSD	YP_207400.1
16130338	b2412	NP_416907.1	cell division protein involved in Z ring assembly	1 to 1	SSD	WP_014852628.1	1 to 1	SSD	WP_003117771.1	0	N/A		1 to 1	SSD	WP_013973520.1	1 to 1	SSD	WP_003087228.1	0	N/A		1 to 1	SSD	WP_012018965.1	1 to 1	SSD	WP_003150445.1	0	N/A		1 to 1	SSD	WP_003110778.1	1 to 1	RBB	NP_746391.1	0	N/A	
16130339	b2413	NP_416908.1	predicted inner membrane protein	1 to 1	RBB	WP_014853859.1	1 to 1	RBB	WP_003116482.1	0	N/A		1 to 1	RBB	WP_004376058.1	1 to 1	RBB	WP_003085838.1	0	N/A		1 to 1	RBB	WP_003243082.1	1 to 1	RBB	WP_012076979.1	0	N/A		1 to 1	RBB	WP_003085838.1	1 to 1	RBB	NP_742946.1	0	N/A	
16130340	b2414	NP_416909.1	cysteine synthase A, O-acetylserine sulfhydrolase A subunit	1 to 1	RBB	WP_014852558.1	1 to 1	SSD	WP_003090573.1	1 to 1	RBB	WP_014847119.1	1 to 1	SSD	WP_013973746.1	1 to 1	SSD	WP_003090573.1	1 to 1	RBB	WP_012731086.1	1 to 1	SSD	WP_003244618.1	1 to 1	SSD	WP_041025495.1	1 to 1	Borderline-SSD	NP_273805.1	1 to 1	SSD	WP_003090573.1	1 to 1	SSD	NP_746680.1	1 to 1	Borderline-SSD	YP_207497.1
16130341	b2415	NP_416910.1	phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr)	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130342	b2416	NP_416911.1	PEP-protein phosphotransferase of PTS system (enzyme I)	0	N/A		1 to 1	RBB	WP_014833909.1	1 to 1	RBB	WP_014845950.1	1 to 2	RBB	WP_013970961.1	1 to 1	RBB	WP_014603966.1	1 to 4	RBB	WP_012731728.1	0	N/A		1 to 1	RBB	WP_012074750.1	1 to 2	RBB	NP_275034.1	1 to 1	RBB	WP_003138070.1	1 to 2	RBB	NP_742954.1	2 to 1	RBB	YP_209058.1
16130343	b2417	NP_416912.1	glucose-specific enzyme IIA component of PTS	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130344	b2418	NP_416913.1	pyridoxal-pyridoxamine kinase/hydroxymethylpyrimidine kinase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130345	b2419	NP_416914.1	predicted protein	0	N/A		1 to 1	RBB	WP_003115326.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012075420.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130346	b2420	NP_416915.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130347	b2421	NP_416916.1	cysteine synthase B (O-acetylserine sulfhydrolase B)	1 to 1	SSD	WP_014853341.1	1 to 1	SSD	WP_003102419.1	0	N/A		1 to 1	SSD	WP_023662461.1	1 to 1	SSD	WP_003086037.1	0	N/A		1 to 1	RBB	WP_012018246.1	1 to 1	SSD	WP_012076914.1	0	N/A		1 to 1	SSD	WP_003102419.1	1 to 1	SSD	NP_743811.1	0	N/A	
16130348	b2422	NP_416917.1	sulfate/thiosulfate transporter subunit	1 to 1	RBB	WP_014854627.1	1 to 1	Borderline-SSD	WP_003104490.1	0	N/A		1 to 1	SSD	WP_013974693.1	1 to 1	Borderline-SSD	WP_003084237.1	0	N/A		1 to 1	RBB	WP_003242463.1	1 to 1	Borderline-SSD	WP_012073914.1	1 to 1	SSD	NP_273920.1	1 to 1	Borderline-SSD	WP_003084237.1	1 to 1	SSD	NP_747269.1	1 to 1	SSD	YP_207598.1
90111430	b2423	YP_026168.2	sulfate/thiosulfate transporter subunit	1 to 1	RBB	WP_014854628.1	1 to 1	Non-SSD	WP_003084239.1	0	N/A		1 to 1	Non-SSD	WP_015272212.1	1 to 1	Non-SSD	WP_003084239.1	0	N/A		1 to 1	RBB	WP_012020091.1	1 to 1	Non-SSD	WP_012073915.1	1 to 1	RBB	NP_273921.1	1 to 1	Non-SSD	WP_003084239.1	1 to 1	Non-SSD	NP_747270.1	1 to 1	SSD	YP_207599.1
16130349	b2424	NP_416919.1	sulfate/thiosulfate transporter subunit	1 to 1	RBB	WP_014854629.1	1 to 1	Non-SSD	WP_003084241.1	0	N/A		1 to 1	Non-SSD	WP_013974695.1	1 to 1	Non-SSD	WP_003084241.1	0	N/A		1 to 1	RBB	WP_012020092.1	1 to 1	Non-SSD	WP_003151763.1	1 to 1	RBB	NP_273922.1	1 to 1	Non-SSD	WP_003084241.1	1 to 1	Non-SSD	NP_747271.1	0	N/A	
16130350	b2425	NP_416920.1	thiosulfate-binding protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003242435.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111431	b2426	NP_416921.4	predicted short-chain oxidoreductase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_013972555.1	0	N/A		2 to 1	RBB	WP_012732050.1;WP_012732071.1	1 to 1	RBB	WP_012020121.1	1 to 1	RBB	WP_012078081.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130352	b2427	NP_416922.1	Repressor for murPQ, MurNAc 6-P inducible	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130353	b2428	NP_416923.1	N-acetylmuramic acid 6-phosphate (MurNAc-6-P) etherase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130354	b2429	NP_416924.1	N-acetylmuramic acid permease, EIIBC component, PTS system	0	N/A		0	N/A		1 to 4	RBB	WP_014845951.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111432	b2430	NP_416925.2	weak penicillin binding protein PBP4B, predicted periplasmic esterase	1 to 1	RBB	WP_043942786.1	1 to 1	RBB	WP_014834011.1	0	N/A		0	N/A		1 to 1	RBB	WP_014603828.1	0	N/A		1 to 1	RBB	WP_003245532.1	0	N/A		0	N/A		1 to 1	RBB	WP_003139367.1	1 to 1	RBB	NP_744106.1	0	N/A	
90111433	b2431	NP_416926.4	deferrrochelatase, cytoplasmic	0	N/A		1 to 1	RBB	WP_003099129.1	0	N/A		1 to 1	RBB	WP_013972645.1	1 to 1	RBB	WP_003090824.1	0	N/A		0	N/A		1 to 1	RBB	WP_003152992.1	1 to 1	RBB	NP_273828.1	1 to 1	RBB	WP_003099129.1	1 to 1	RBB	NP_745391.1	1 to 1	SSD	YP_207527.1
16130357	b2432	NP_416927.1	RpoE-regulated lipoprotein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111434	b2433	NP_416928.4	inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111435	b2434	NP_416929.4	predicted acyltransferase with acyl-CoA N-acyltransferase domain	0	N/A		1 to 1	RBB	WP_003116252.1	1 to 1	RBB	WP_014845822.1	1 to 1	RBB	WP_013972788.1	1 to 1	RBB	WP_003094666.1	0	N/A		1 to 1	RBB	WP_012018400.1	1 to 1	RBB	WP_003152776.1	0	N/A		1 to 1	RBB	WP_003103865.1	0	N/A		0	N/A	
16130360	b2435	NP_416930.1	N-acetylmuramoyl-l-alanine amidase I	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012732694.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130361	b2436	NP_416931.1	coproporphyrinogen III oxidase	1 to 1	SSD	WP_014850949.1	1 to 1	SSD	WP_003118481.1	0	N/A		1 to 1	SSD	WP_013970271.1	1 to 1	SSD	WP_003097311.1	0	N/A		1 to 1	SSD	WP_011920407.1	1 to 1	SSD	WP_011979055.1	0	N/A		1 to 1	SSD	WP_003097311.1	1 to 1	SSD	NP_742243.1	0	N/A	
16130362	b2437	NP_416932.1	eut operon transcriptional activator, AraC family	1 to 1	RBB	WP_014852647.1	1 to 1	RBB	WP_003116868.1	0	N/A		1 to 1	RBB	WP_013972692.1	1 to 1	RBB	WP_003089872.1	0	N/A		0	N/A		1 to 1	RBB	WP_012075554.1	0	N/A		1 to 1	RBB	WP_003089872.1	1 to 1	RBB	NP_745293.1	0	N/A	
90111436	b2438	NP_416933.4	predicted carboxysome structural protein with predicted role in ethanolamine utilization	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130364	b2439	NP_416934.1	predicted carboxysome structural protein with predicted role in ethanolamine utilization	0	N/A		0	N/A		1 to 1	RBB	WP_014847889.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130365	b2440	NP_416935.1	ethanolamine ammonia-lyase, small subunit (light chain)	2 to 1	RBB	WP_014854007.1;WP_014852223.1	1 to 1	RBB	WP_003114907.1	0	N/A		1 to 1	RBB	WP_044047205.1	1 to 1	RBB	WP_003110520.1	1 to 1	RBB	WP_012730816.1	1 to 1	RBB	WP_012018919.1	1 to 1	RBB	WP_012074407.1	0	N/A		1 to 1	RBB	WP_003110520.1	1 to 1	RBB	NP_742705.1	0	N/A	
90111437	b2441	NP_416936.4	ethanolamine ammonia-lyase, large subunit, heavy chain	2 to 1	RBB	WP_014852224.1;WP_014854006.1	1 to 1	RBB	WP_003093232.1	0	N/A		1 to 1	RBB	WP_013970694.1	1 to 1	RBB	WP_003093232.1	1 to 1	RBB	WP_012730817.1	1 to 1	RBB	WP_012018918.1	1 to 1	RBB	WP_012074408.1	0	N/A		1 to 1	RBB	WP_003093232.1	1 to 1	RBB	NP_742706.1	0	N/A	
145698295	b2442	NP_416937.2	CPZ-55 prophage; predicted integrase	1 to 3	RBB	WP_043942616.1	1 to 3	RBB	WP_014744326.1	0	N/A		0	N/A		1 to 2	RBB	WP_003096105.1	0	N/A		1 to 2	RBB	WP_012019848.1	1 to 2	RBB	WP_012077391.1	0	N/A		1 to 3	RBB	WP_011666563.1	0	N/A		3 to 1	RBB	YP_207612.1
16130368	b2443	NP_416938.1	CPZ-55 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130369	b2444	NP_416939.1	CPZ-55 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
145698296	b2445	NP_416940.2	CPZ-55 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130371	b2446	NP_416941.1	CPZ-55 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_207644.1
16130372	b2447	NP_416942.1	CPZ-55 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
145698297	b2448	NP_416943.2	CPZ-55 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130374	b2449	NP_416944.1	CPZ-55 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
145698298	b2450	NP_416945.2	CPZ-55 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130376	b2451	NP_416946.1	reactivating factor for ethanolamine ammonia lyase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130377	b2452	NP_416947.1	ethanolamine transporter	1 to 1	RBB	WP_014852225.1	1 to 1	RBB	WP_003117789.1	0	N/A		0	N/A		1 to 1	RBB	WP_003087169.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003087169.1	0	N/A		0	N/A	
90111438	b2453	NP_416948.4	ethanol dehydrogenase involved in ethanolamine utilization; aldehyde reductase, converts acetaldehyde to ethanol	0	N/A		0	N/A		1 to 3	RBB	WP_041696820.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130379	b2454	NP_416949.1	predicted chaperonin, ethanolamine utilization protein	0	N/A		0	N/A		1 to 1	RBB	WP_014847898.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130380	b2455	NP_416950.1	aldehyde oxidoreductase, ethanolamine utilization protein	0	N/A		0	N/A		1 to 1	RBB	WP_014847902.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130381	b2456	NP_416951.1	Ethanolamine catabolic microcompartment shell protein	0	N/A		0	N/A		1 to 1	RBB	WP_014847900.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111439	b2457	NP_416952.2	predicted carboxysome structural protein, ethanolamine utilization protein	0	N/A		0	N/A		2 to 1	RBB	WP_014847896.1;WP_014847888.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130383	b2458	NP_416953.1	acetyl phosphotransacylase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130384	b2459	NP_416954.1	cobalamin adenosyltransferase involved in ethanolamine utilization	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130385	b2460	NP_416955.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_747470.1	0	N/A	
16130386	b2461	NP_416956.1	conserved protein with nucleoside triphosphate hydrolase domain	0	N/A		0	N/A		1 to 1	RBB	WP_014847886.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111440	b2462	NP_416957.4	predicted carboxysome structural protein with predicted role in ethanol utilization	0	N/A		0	N/A		1 to 1	RBB	WP_014847887.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130388	b2463	NP_416958.1	fused malic enzyme predicted oxidoreductase/predicted phosphotransacetylase	1 to 1	Borderline-SSD	WP_014851431.1	1 to 1	RBB	WP_003103278.1	0	N/A		1 to 1	RBB	WP_024087853.1	1 to 1	RBB	WP_003095842.1	0	N/A		1 to 1	Borderline-SSD	WP_011920758.1	1 to 1	RBB	WP_012077724.1	1 to 1	SSD	NP_273713.1	1 to 1	RBB	WP_003095842.1	1 to 1	RBB	NP_747186.1	1 to 1	RBB	YP_207405.1
16130389	b2464	NP_416959.1	transaldolase A	1 to 2	RBB	WP_014852534.1	1 to 2	RBB	WP_003090868.1	1 to 2	RBB	WP_014845277.1	1 to 2	RBB	WP_013971743.1	1 to 2	RBB	WP_003090868.1	1 to 2	RBB	WP_012731600.1	1 to 2	RBB	WP_012018392.1	1 to 2	RBB	WP_012075288.1	1 to 2	RBB	NP_273400.1	1 to 2	RBB	WP_003090868.1	1 to 2	RBB	NP_744317.1	2 to 1	RBB	YP_208650.1
16130390	b2465	NP_416960.1	transketolase 2, thiamin-binding	1 to 2	RBB	WP_014851260.1	1 to 2	RBB	WP_003110216.1	1 to 2	RBB	WP_014846225.1	1 to 2	RBB	WP_013974503.1	1 to 2	RBB	WP_003084952.1	1 to 2	RBB	WP_041629303.1	1 to 2	RBB	WP_011920700.1	1 to 2	RBB	WP_033999542.1	1 to 2	RBB	NP_274468.1	1 to 2	RBB	WP_003110216.1	1 to 2	RBB	NP_747068.1	2 to 1	RBB	YP_208116.1
16130391	b2466	NP_416961.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012019288.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130392	b2467	NP_416962.1	GDP-mannose pyrophosphatase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_274097.1	0	N/A		0	N/A		0	N/A	
16130393	b2468	NP_416963.1	fused predicted oxidoreductase: FeS binding subunit/NAD/FAD-binding subunit	0	N/A		1 to 2	RBB	WP_003095829.1	1 to 3	RBB	WP_014845843.1	0	N/A		1 to 2	RBB	WP_003095829.1	1 to 3	RBB	WP_012730736.1	0	N/A		1 to 2	RBB	WP_012077716.1	0	N/A		1 to 2	RBB	WP_003095829.1	0	N/A		0	N/A	
16130394	b2469	NP_416964.1	sensory histidine kinase in two-component regulatory system with NarP (NarL)	0	N/A		0	N/A		0	N/A		1 to 2	RBB	WP_044046875.1	0	N/A		0	N/A		2 to 1	RBB	WP_011920423.1;WP_012018406.1	0	N/A		1 to 2	RBB	NP_274272.1	0	N/A		1 to 1	RBB	NP_744815.1	2 to 1	RBB	YP_207880.1
