Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession
16130239	b2304	NP_416807.1	conserved protein with NAD(P)-binding Rossmann-fold domain	1 to 1	RBB	WP_003411454.1	1 to 1	Borderline-SSD	YP_005238431	1 to 1	SSD	NP_461292.1	1 to 1	SSD	NP_253345.1	1 to 1	RBB	YP_001083938	1 to 1	RBB	YP_002387773	1 to 1	SSD	WP_003141621.1
16130240	b2305	NP_416808.1	conserved protein	0	N/A		2 to 1	RBB	YP_005239711;YP_005240019	2 to 1	RBB	NP_462411.1;NP_462665.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387774	0	N/A	
16130241	b2306	NP_416809.1	histidine/lysine/arginine/ornithine transporter subunit	0	N/A		1 to 1	SSD	YP_005238432	1 to 1	SSD	NP_461293.1	1 to 1	RBB	NP_249583.1	1 to 1	SSD	YP_001085324	1 to 1	RBB	YP_002387775	1 to 1	RBB	WP_003085940.1
16130242	b2307	NP_416810.1	histidine/lysine/arginine/ornithine transporter subunit	0	N/A		1 to 1	Non-SSD	YP_005238433	1 to 1	Non-SSD	NP_461294.1	1 to 1	RBB	NP_251615.1	1 to 1	SSD	YP_001085325	1 to 1	RBB	YP_002387776	1 to 1	RBB	WP_003091035.1
16130243	b2308	NP_416811.1	histidine/lysine/arginine/ornithine transporter permease subunit	0	N/A		1 to 1	Borderline-SSD	YP_005238434	1 to 1	Borderline-SSD	NP_461295.1	1 to 1	RBB	NP_251614.1	1 to 1	SSD	YP_001085326	1 to 1	RBB	YP_002387777	1 to 1	RBB	WP_003110298.1
16130244	b2309	NP_416812.1	histidine/lysine/arginine/ornithine transporter subunit	1 to 6	RBB	WP_003900142.1	1 to 1	SSD	YP_005238435	1 to 1	SSD	NP_461296.1	1 to 2	RBB	NP_251613.1	1 to 2	RBB	YP_001085327	1 to 1	RBB	YP_002387778	1 to 2	RBB	WP_003124439.1
16130245	b2310	NP_416813.1	lysine/arginine/ornithine transporter subunit	1 to 6	RBB	WP_003900142.1	1 to 1	SSD	YP_005238436	1 to 1	SSD	NP_461297.1	1 to 2	RBB	NP_251613.1	1 to 2	RBB	YP_001085327	0	N/A		1 to 2	RBB	WP_003124439.1
16130246	b2311	NP_416814.1	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	0	N/A		1 to 1	SSD	YP_005238438	1 to 1	SSD	NP_461298.1	1 to 1	Non-SSD	NP_252708.1	0	N/A		1 to 1	RBB	YP_002387779	1 to 1	Non-SSD	WP_003093227.1
16130247	b2312	NP_416815.1	amidophosphoribosyltransferase	1 to 1	RBB	WP_003911290.1	1 to 1	SimNSSD	YP_005238444	1 to 1	SimNSSD	NP_461304.1	1 to 1	SSD	NP_251798.1	1 to 1	SSD	YP_001085276	1 to 1	RBB	YP_002387780	1 to 1	SSD	WP_003091383.1
16130248	b2313	NP_416816.1	membrane protein required for colicin V production	0	N/A		1 to 1	SSD	YP_005238445	1 to 1	SSD	NP_461305.1	1 to 1	SSD	NP_251799.1	0	N/A		1 to 1	RBB	YP_002387781	1 to 1	SSD	WP_003091384.1
90111417	b2314	NP_416817.2	membrane-anchored periplasmic protein involved in septation	0	N/A		1 to 1	SSD	YP_005238447	1 to 1	SSD	NP_461306.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387782	0	N/A	
16130250	b2315	NP_416818.1	bifunctional folylpolyglutamate synthase/ dihydrofolate synthase	1 to 1	RBB	WP_003899324.1	1 to 1	SSD	YP_005238448	1 to 1	SSD	NP_461307.1	1 to 1	SSD	NP_251801.1	1 to 1	SSD	YP_001085876	1 to 1	RBB	YP_002387783	1 to 1	SSD	WP_003138507.1
16130251	b2316	NP_416819.1	acetyl-CoA carboxylase, beta (carboxyltransferase) subunit	1 to 1	RBB	WP_003404691.1	1 to 1	SSD	YP_005238449	1 to 1	SSD	NP_461308.1	1 to 1	SSD	NP_251802.1	1 to 1	SSD	YP_001085877	1 to 1	RBB	YP_002387784	1 to 1	SSD	WP_003104199.1
16130252	b2317	NP_416820.1	conserved inner membrane protein	1 to 1	RBB	WP_003401857.1	1 to 1	SSD	YP_005238450	1 to 1	SSD	NP_461309.1	1 to 1	SSD	NP_252718.1	1 to 1	RBB	YP_001083214	1 to 1	RBB	YP_002387785	1 to 1	SSD	WP_003093241.1
16130253	b2318	NP_416821.1	pseudouridylate synthase I	1 to 1	RBB	WP_003904329.1	1 to 1	SSD	YP_005238451	1 to 1	SSD	NP_461310.1	1 to 1	SSD	NP_251804.1	1 to 1	SSD	YP_001083480	1 to 1	RBB	YP_002387786	1 to 1	SSD	WP_011666599.1
16130254	b2319	NP_416822.1	predicted semialdehyde dehydrogenase	1 to 1	RBB	WP_003419825.1	1 to 1	Borderline-SSD	YP_005238452	1 to 1	Borderline-SSD	NP_461311.1	1 to 1	Borderline-SSD	NP_251806.1	0	N/A		1 to 1	RBB	YP_002387787	1 to 1	RBB	WP_003091393.1
16130255	b2320	NP_416823.1	erythronate-4-phosphate dehydrogenase	0	N/A		1 to 1	SSD	YP_005238453	1 to 1	SSD	NP_461312.1	1 to 1	SSD	NP_250066.1	1 to 1	RBB	YP_001085656	1 to 1	RBB	YP_002387788	1 to 1	RBB	WP_003140321.1
16130256	b2321	NP_416824.1	predicted flagella assembly protein	0	N/A		1 to 1	Borderline-SSD	YP_005238454	1 to 1	Borderline-SSD	NP_461313.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387789	0	N/A	
16130257	b2322	NP_416825.1	predicted transporter	0	N/A		1 to 1	SSD	YP_005238455	1 to 1	SSD	NP_461314.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387790	0	N/A	
16130258	b2323	NP_416826.1	3-oxoacyl-[acyl-carrier-protein] synthase I	0	N/A		1 to 1	SSD	YP_005238462	1 to 1	SSD	NP_461320.1	1 to 1	RBB	NP_250300.1	2 to 1	SSD	YP_001083897;YP_001083175	1 to 1	RBB	YP_002387791	1 to 1	RBB	WP_003087471.1
90111418	b2324	NP_416827.4	fused 5-methylaminomethyl-2-thiouridine-forming enzyme methyltransferase/FAD-dependent demodification enzyme	0	N/A		1 to 1	SSD	YP_005238463	1 to 1	SSD	NP_461321.2	1 to 1	SSD	NP_252146.1	1 to 1	SSD	YP_001085930	1 to 1	RBB	YP_002387792	1 to 1	RBB	WP_003138195.1
16130260	b2325	NP_416828.1	predicted protein	0	N/A		1 to 1	SSD	YP_005238464	1 to 1	SSD	NP_461322.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387793	0	N/A	
16130261	b2326	NP_416829.1	conserved protein	0	N/A		1 to 1	SSD	YP_005238465	1 to 1	SSD	NP_461323.1	0	N/A		1 to 1	RBB	YP_001083854	1 to 1	RBB	YP_002387794	0	N/A	
16130262	b2327	NP_416830.1	inner membrane protein, UPF0721 family	0	N/A		1 to 1	SSD	YP_005238466	1 to 1	SSD	NP_461324.1	1 to 1	RBB	NP_250515.1	0	N/A		1 to 1	RBB	YP_002387795	1 to 1	RBB	WP_003139927.1
16130263	b2328	NP_416831.1	murein DD-endopeptidase	0	N/A		1 to 1	SSD	YP_005238467	1 to 1	SSD	NP_461325.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387796	0	N/A	
16130264	b2329	NP_416832.1	chorismate synthase	1 to 1	RBB	WP_003413027.1	1 to 1	SSD	YP_005238468	1 to 1	SSD	NP_461326.1	1 to 1	SSD	NP_250372.1	1 to 1	SSD	YP_001084723	1 to 1	RBB	YP_002387797	1 to 1	SSD	WP_003087653.1
90111419	b2330	NP_416833.4	N5-glutamine methyltransferase	1 to 2	RBB	WP_003916325.1	1 to 1	SSD	YP_005238469	1 to 1	SSD	NP_461327.1	1 to 1	SSD	NP_250369.1	1 to 1	SSD	YP_001084722	1 to 1	RBB	YP_002387798	1 to 1	SSD	WP_003087648.1
16130266	b2331	NP_416834.1	conserved protein	0	N/A		1 to 1	SSD	YP_005238470	1 to 1	SSD	NP_461328.1	0	N/A		1 to 1	RBB	YP_001085382	1 to 1	RBB	YP_002387799	0	N/A	
90111420	b2332	NP_416835.2	predicted protein	0	N/A		1 to 1	RBB	YP_005235871	1 to 1	RBB	NP_459206.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387801	0	N/A	
16130268	b2333	NP_416836.1	predicted fimbrial-like adhesin protein	0	N/A		1 to 1	RBB	YP_005235870	1 to 1	RBB	NP_459205.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387802	0	N/A	
16130269	b2334	NP_416837.1	predicted fimbrial-like adhesin protein	0	N/A		1 to 1	RBB	YP_005235869	1 to 1	RBB	NP_459204.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387803	0	N/A	
16130270	b2335	NP_416838.1	predicted fimbrial-like adhesin protein	0	N/A		1 to 1	RBB	YP_005235868	1 to 1	RBB	NP_459203.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387804	0	N/A	
16130271	b2336	NP_416839.1	predicted periplasmic pilus chaperone	0	N/A		1 to 1	SSD	YP_005235867	1 to 1	SSD	NP_459202.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387805	0	N/A	
16130272	b2339	NP_416841.1	predicted fimbrial-like adhesin protein	0	N/A		1 to 1	RBB	YP_005235865	1 to 1	RBB	NP_459200.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387807	0	N/A	
16130273	b2340	NP_416842.1	phosphohistidine phosphatase	1 to 1	RBB	WP_003898805.1	1 to 1	SSD	YP_005238471	1 to 1	SSD	NP_461329.1	1 to 1	RBB	NP_250307.1	0	N/A		1 to 1	RBB	YP_002387808	1 to 1	RBB	WP_003117751.1
16130274	b2341	NP_416843.1	fused enoyl-CoA hydratase and epimerase and isomerase/3-hydroxyacyl-CoA dehydrogenase	1 to 2	RBB	WP_003404426.1	1 to 1	SSD	YP_005238472	1 to 1	SSD	NP_461330.1	0	N/A		1 to 2	RBB	YP_001085862	1 to 1	RBB	YP_002387809	0	N/A	
16130275	b2342	NP_416844.1	beta-ketoacyl-CoA thiolase, anaerobic, subunit	1 to 1	RBB	WP_003401309.1	1 to 1	SSD	YP_005238473	1 to 1	SSD	NP_461331.1	1 to 1	SSD	NP_253473.1	1 to 1	RBB	YP_001085091	1 to 1	RBB	YP_002387810	1 to 1	RBB	WP_004365395.1
90111421	b2343	NP_416845.2	conserved protein, UPF0381 family	0	N/A		1 to 1	SSD	YP_005238474	1 to 1	SSD	NP_461332.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387811	0	N/A	
145698292	b2344	NP_416846.2	long-chain fatty acid outer membrane transporter	0	N/A		1 to 1	SSD	YP_005238477	1 to 1	SSD	NP_461333.1	1 to 1	RBB	NP_249979.1	1 to 1	RBB	YP_001083739	1 to 1	RBB	YP_002387812	1 to 1	SSD	WP_003133490.1
16130278	b2345	NP_416847.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387813	0	N/A	
16130279	b2346	NP_416848.1	ABC transporter maintaining OM lipid asymmetry, OM lipoprotein component	0	N/A		1 to 1	SSD	YP_005238478	1 to 1	SSD	NP_461334.1	2 to 1	SSD	NP_251929.1;NP_251490.1	1 to 1	Borderline-SSD	YP_001083673	1 to 1	RBB	YP_002387814	2 to 1	RBB	WP_003090872.1;WP_003138398.1
16130280	b2347	NP_416849.1	predicted inner membrane protein	0	N/A		1 to 1	SSD	YP_005238479	1 to 1	SSD	NP_461335.1	1 to 1	RBB	NP_251467.1	1 to 1	RBB	YP_001086417	1 to 1	RBB	YP_002387816	1 to 1	RBB	WP_003138815.1
16130281	b2349	NP_416850.1	CPS-53 (KpLE1) prophage; predicted prophage CPS-53 integrase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 2	RBB	YP_002389727	1 to 3	RBB	WP_011666563.1
16130282	b2350	NP_416851.1	CPS-53 (KpLE1) prophage; bactoprenol-linked glucose translocase (flippase)	0	N/A		1 to 1	RBB	YP_005236263	1 to 1	RBB	NP_459552.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130283	b2351	NP_416852.1	CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase	1 to 2	RBB	WP_003407612.1	1 to 1	SSD	YP_005236262	1 to 1	SSD	NP_459551.1	1 to 1	SSD	NP_253506.1	1 to 2	SSD	YP_001085643	0	N/A		1 to 1	RBB	WP_003107470.1
16130284	b2352	NP_416853.1	serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130286	b2354	NP_416855.1	CPS-53 (KpLE1) prophage; conserved protein	0	N/A		1 to 1	RBB	YP_005238296	1 to 1	RBB	NP_461176.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130289	b2357	NP_416858.1	CPS-53 (KpLE1) prophage; predicted protein	0	N/A		1 to 1	RBB	YP_005238014	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
145698293	b2359	NP_416860.4	CPS-53 (KpLE1) prophage; predicted protein	0	N/A		1 to 1	Non-SSD	YP_005238021	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130292	b2360	NP_416861.1	CPS-53 (KpLE1) prophage; predicted protein	0	N/A		1 to 1	Non-SSD	YP_005238022	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111424	b2361	NP_416862.2	CPS-53 (KpLE1) prophage; conserved protein	0	N/A		1 to 1	Borderline-SSD	YP_005238023	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130294	b2362	NP_416863.1	CPS-53 (KpLE1) prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130295	b2363	NP_416864.1	CPS-53 (KpLE1) prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130296	b2364	NP_416865.1	DNA-binding transcriptional dual regulator	0	N/A		1 to 1	SSD	YP_005240063	1 to 1	SSD	NP_462701.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130297	b2365	NP_416866.1	D-serine permease	0	N/A		1 to 1	SSD	YP_005240065	1 to 1	SSD	NP_462702.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130298	b2366	NP_416867.1	D-serine dehydratase	0	N/A		1 to 1	SSD	YP_005240066	1 to 1	SSD	NP_462703.1	1 to 1	RBB	NP_252047.1	1 to 1	RBB	YP_001084007	1 to 1	RBB	YP_002387821	1 to 1	RBB	WP_003138263.1
16130299	b2367	NP_416868.1	predicted multidrug efflux system	1 to 3	RBB	WP_003898791.1	0	N/A		0	N/A		1 to 2	RBB	NP_253847.1	1 to 2	RBB	YP_001083943	1 to 1	RBB	YP_002387822	1 to 2	RBB	WP_003141886.1
16130300	b2368	NP_416869.1	EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component	0	N/A		0	N/A		0	N/A		1 to 2	RBB	NP_253846.1	1 to 2	RBB	YP_001083942	1 to 1	RBB	YP_002387823	1 to 2	RBB	WP_003135919.1
16130301	b2369	NP_416870.1	DNA-binding response regulator in two-component regulatory system with EvgS	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_251735.1	0	N/A		1 to 1	RBB	YP_002387824	1 to 1	RBB	WP_003091268.1
16130302	b2370	NP_416871.1	hybrid sensory histidine kinase in two-component regulatory system with EvgA	0	N/A		0	N/A		0	N/A		2 to 1	RBB	NP_252635.1;NP_251734.1	0	N/A		1 to 1	RBB	YP_002387825	2 to 1	RBB	WP_003138563.1;WP_003137721.1
162135906	b2371	NP_416872.4	predicted CoA-transferase, NAD(P)-binding	1 to 2	RBB	WP_003417120.1	0	N/A		0	N/A		2 to 1	RBB	NP_249137.1;NP_252282.1	1 to 1	RBB	YP_001083765	1 to 1	RBB	YP_002387826	2 to 1	RBB	WP_003138047.1;WP_003084679.1
16130304	b2372	NP_416873.1	predicted transporter	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387827	0	N/A	
16130305	b2373	NP_416874.1	oxalyl CoA decarboxylase, ThDP-dependent	1 to 1	RBB	WP_003900812.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387828	0	N/A	
16130306	b2374	NP_416875.1	formyl-CoA transferase, NAD(P)-binding	1 to 2	RBB	WP_003417120.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387829	0	N/A	
16130307	b2375	NP_416876.1	predicted protein	0	N/A		1 to 1	RBB	YP_005239165	1 to 1	RBB	NP_461947.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387830	0	N/A	
16130308	b2376	NP_416877.1	predicted lipoprotein involved in colanic acid biosynthesis	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387831	0	N/A	
16130309	b2377	NP_416878.1	predicted inner membrane protein	0	N/A		1 to 1	RBB	YP_005238485	1 to 1	RBB	NP_461341.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387832	0	N/A	
90111426	b2378	NP_416879.4	palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase	0	N/A		1 to 1	SSD	YP_005238487	1 to 1	SSD	NP_461342.1	1 to 2	RBB	NP_251932.1	1 to 2	RBB	YP_001083488	1 to 1	RBB	YP_002387834	1 to 2	RBB	WP_003091577.1
16130311	b2379	NP_416880.1	valine-pyruvate aminotransferase 3	1 to 1	RBB	WP_003898756.1	1 to 1	SSD	YP_005238488	1 to 1	SSD	NP_461343.1	1 to 1	SSD	NP_253403.1	1 to 1	Non-SSD	YP_001084503	1 to 1	RBB	YP_002387835	1 to 1	RBB	WP_004365361.1
16130312	b2380	NP_416881.1	predicted sensory kinase in two-component system with YpdB	0	N/A		0	N/A		0	N/A		1 to 2	RBB	NP_253949.1	1 to 2	SSD	YP_001083337	1 to 1	RBB	YP_002387836	1 to 2	RBB	WP_003096404.1
16130313	b2381	NP_416882.1	predicted response regulator in two-component system with YpdA	0	N/A		0	N/A		0	N/A		1 to 2	RBB	NP_253948.1	1 to 2	Borderline-SSD	YP_001083338	1 to 1	RBB	YP_002387837	1 to 2	RBB	WP_003096397.1
16130314	b2382	NP_416883.1	predicted DNA-binding protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387838	0	N/A	
16130315	b2383	NP_416884.1	fused predicted PTS enzymes: Hpr component/enzyme I component/enzyme IIA component	0	N/A		0	N/A		0	N/A		1 to 2	RBB	NP_252252.1	1 to 2	RBB	YP_001084974	1 to 1	RBB	YP_002387839	0	N/A	
16130316	b2384	NP_416885.1	aminopeptidase	0	N/A		0	N/A		0	N/A		1 to 2	RBB	NP_250862.1	0	N/A		1 to 1	RBB	YP_002387840	1 to 2	RBB	WP_011666677.1
16130317	b2385	NP_416886.1	Xaa-Pro aminopeptidase	1 to 1	RBB	WP_003412996.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387841	0	N/A	
16130318	b2386	NP_416887.1	predicted enzyme IIC component of PTS	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387842	0	N/A	
16130319	b2387	NP_416888.1	predicted enzyme IIB component of PTS	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387843	0	N/A	
16130320	b2388	NP_416889.1	glucokinase	0	N/A		1 to 1	SSD	YP_005238490	1 to 1	SSD	NP_461344.1	1 to 1	Borderline-SSD	NP_251883.1	0	N/A		1 to 1	RBB	YP_002387844	1 to 1	SSD	WP_003091477.1
16130321	b2389	NP_416890.1	predicted ion channel protein	0	N/A		1 to 1	SSD	YP_005238491	1 to 1	SSD	NP_461345.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387845	0	N/A	
16130322	b2390	NP_416891.1	conserved protein	0	N/A		1 to 1	SSD	YP_005238495	1 to 1	SSD	NP_461348.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387846	0	N/A	
16130324	b2392	NP_416893.1	manganese/divalent cation transporter	1 to 1	RBB	WP_003917375.1	1 to 1	SSD	YP_005238496	1 to 1	SSD	NP_461349.1	2 to 1	RBB	NP_253024.1;NP_249500.1	0	N/A		1 to 1	RBB	YP_002387847	2 to 1	RBB	WP_003141228.1;WP_003106624.1
16130325	b2393	NP_416894.1	nucleoside (except guanosine) transporter	0	N/A		1 to 1	SSD	YP_005238497	1 to 1	SSD	NP_461350.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387848	0	N/A	
90111427	b2394	NP_416895.2	IS186 transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111428	b2395	NP_416896.4	predicted diguanylate cyclase	0	N/A		1 to 1	SSD	YP_005238498	1 to 1	SSD	NP_461351.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387849	0	N/A	
90111429	b2398	NP_416897.2	predicted DNA-binding protein, DUF1323 family	0	N/A		1 to 1	SSD	YP_005238499	1 to 1	SSD	NP_461352.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387850	0	N/A	
226524736	b2399	NP_416898.3	conserved protein, DUF1323 family; N-terminal HTH domain of the MerR superfamily	0	N/A		1 to 1	SSD	YP_005238500	1 to 1	SSD	NP_461353.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387851	0	N/A	
16130330	b2400	NP_416899.1	glutamyl-tRNA synthetase	1 to 1	RBB	WP_031647610.1	1 to 1	Borderline-SSD	YP_005238501	1 to 1	Borderline-SSD	NP_461354.1	1 to 1	Non-SSD	NP_251824.1	1 to 1	SSD	YP_001086205	1 to 1	RBB	YP_002387852	1 to 1	Non-SSD	WP_003130541.1
16130331	b2405	NP_416900.1	DNA-binding transcriptional activator for for xapAB	1 to 8	RBB	WP_003400857.1	1 to 1	Borderline-SSD	YP_005238502	1 to 1	Borderline-SSD	NP_461355.1	0	N/A		1 to 1	RBB	YP_001086262	0	N/A		0	N/A	
16130332	b2406	NP_416901.1	xanthosine transporter	0	N/A		1 to 1	Borderline-SSD	YP_005238504	1 to 1	SSD	NP_461356.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130333	b2407	NP_416902.1	purine nucleoside phosphorylase II	1 to 1	RBB	WP_003417233.1	1 to 1	Non-SSD	YP_005238505	0	N/A		1 to 1	Non-SSD	NP_251694.1	0	N/A		0	N/A		1 to 1	Non-SSD	WP_003091193.1
16130334	b2408	NP_416903.1	predicted outer membrane protein	0	N/A		1 to 1	RBB	YP_005238506	1 to 1	RBB	NP_461358.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130335	b2409	NP_416904.1	predicted DNA-binding transcriptional regulator	0	N/A		1 to 1	Non-SSD	YP_005238507	1 to 1	Borderline-SSD	NP_461359.1	1 to 2	RBB	NP_250688.1	1 to 2	RBB	YP_001084762	1 to 1	RBB	YP_002387854	1 to 2	RBB	WP_003088564.1
16130336	b2410	NP_416905.1	predicted inner membrane protein	0	N/A		1 to 1	SSD	YP_005238508	1 to 1	SSD	NP_461360.1	1 to 1	RBB	NP_250716.1	1 to 1	RBB	YP_001085445	1 to 1	RBB	YP_002387855	1 to 1	RBB	WP_003128792.1
16130337	b2411	NP_416906.1	DNA ligase, NAD(+)-dependent	1 to 1	RBB	WP_003415263.1	1 to 1	SSD	YP_005238510	1 to 1	SSD	NP_461362.1	1 to 1	SSD	NP_250220.1	1 to 1	SSD	YP_001083839	1 to 1	RBB	YP_002387857	1 to 1	SSD	WP_003140219.1
16130338	b2412	NP_416907.1	cell division protein involved in Z ring assembly	0	N/A		1 to 1	SSD	YP_005238511	1 to 1	SSD	NP_461363.1	1 to 1	SSD	NP_250219.1	1 to 1	RBB	YP_001083838	1 to 1	RBB	YP_002387858	1 to 1	SSD	WP_003110778.1
16130339	b2413	NP_416908.1	predicted inner membrane protein	0	N/A		1 to 1	SSD	YP_005238512	1 to 1	SSD	NP_461364.1	1 to 1	RBB	NP_249537.1	0	N/A		1 to 1	RBB	YP_002387859	1 to 1	RBB	WP_003085838.1
16130340	b2414	NP_416909.1	cysteine synthase A, O-acetylserine sulfhydrolase A subunit	1 to 1	RBB	WP_003899275.1	1 to 1	Borderline-SSD	YP_005238513	1 to 1	Borderline-SSD	NP_461365.1	1 to 1	RBB	NP_251399.1	1 to 1	RBB	YP_001083260	1 to 1	RBB	YP_002387860	1 to 1	SSD	WP_003090573.1
16130341	b2415	NP_416910.1	phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr)	0	N/A		1 to 1	SSD	YP_005238517	1 to 1	SSD	NP_461366.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387861	0	N/A	
16130342	b2416	NP_416911.1	PEP-protein phosphotransferase of PTS system (enzyme I)	0	N/A		1 to 1	SSD	YP_005238518	1 to 1	SSD	NP_461367.1	1 to 2	RBB	NP_252252.1	1 to 2	RBB	YP_001084974	1 to 1	RBB	YP_002387862	1 to 1	RBB	WP_003138070.1
16130343	b2417	NP_416912.1	glucose-specific enzyme IIA component of PTS	0	N/A		1 to 1	SimNSSD	YP_005238519	1 to 1	SimNSSD	NP_461368.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387863	0	N/A	
16130344	b2418	NP_416913.1	pyridoxal-pyridoxamine kinase/hydroxymethylpyrimidine kinase	0	N/A		1 to 1	Non-SSD	YP_005238521	1 to 1	Non-SSD	NP_461370.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387864	0	N/A	
16130345	b2419	NP_416914.1	predicted protein	0	N/A		1 to 1	RBB	YP_005238524	1 to 1	RBB	NP_461373.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387865	0	N/A	
16130346	b2420	NP_416915.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130347	b2421	NP_416916.1	cysteine synthase B (O-acetylserine sulfhydrolase B)	0	N/A		1 to 1	SSD	YP_005238526	1 to 1	SSD	NP_461375.1	1 to 1	RBB	NP_249623.1	1 to 1	SSD	YP_001083630	1 to 1	RBB	YP_002387866	1 to 1	SSD	WP_003102419.1
